date,Period,All items,All items less food and energy,Shelter,Services less energy services,FT core,Energy,All items less food,All items less food and shelter,"All items less food, shelter, and energy","All items less food, shelter, energy, and used cars and trucks",All items less shelter,All items less medical care,All items less energy,Apparel less footwear,Apparel,Men's and boys' apparel,Women's and girls' apparel,Commodities,Energy commodities,Commodities less food,Commodities less food and beverages,Commodities less food and energy commodities,"Commodities less food, energy, and used cars and trucks",Durables,Education and communication,Education,Communication,Information and information processing,Education and communication commodities,Education and communication services,Food and beverages,Food,Food at home,Cereals and bakery products,"Meats, poultry, fish, and eggs","Meats, poultry, and fish",Meats,Fruits and vegetables,Fresh fruits and vegetables,Nonalcoholic beverages and beverage materials,Other food at home,Alcoholic beverages,Other goods and services,Personal care,Other goods,Housing,Fuels and utilities,Household energy,Household furnishings and operations,Household furnishings and supplies,Medical care,Medical care commodities,Medical care services,Nondurables,Domestically produced farm food,Nondurables less food,Nondurables less food and beverages,"Nondurables less food, beverages, and apparel",Nondurables less food and apparel,Recreation,Recreation commodities,Recreation services,Services,Utilities and public transportation,Rent of shelter,Other services,Transportation services,Services less rent of shelter,Services less medical care services,Transportation,Private transportation,Transportation commodities less motor fuel,Men's apparel,"Men's suits, sport coats, and outerwear","Men's underwear, nightwear, swimwear and accessories",Men's shirts and sweaters,Men's pants and shorts,Boys' apparel,Women's apparel,Women's outerwear,Women's dresses,Women's suits and separates,"Women's underwear, nightwear, swimwear and accessories",Girls' apparel,Footwear,Men's footwear,Boys' and girls' footwear,Women's footwear,Infants' and toddlers' apparel,Jewelry and watches,Watches,Jewelry,Educational books and supplies,"Tuition, other school fees, and childcare",College tuition and fees,Elementary and high school tuition and fees,Day care and preschool,Technical and business school tuition and fees,Postage and delivery services,Postage,Delivery services,"Information technology, hardware and services","Computers, peripherals, and smart home assistants",Internet services and electronic information providers,"Telephone hardware, calculators, and other consumer information items",Information technology commodities,Cereals and cereal products,Flour and prepared flour mixes,Breakfast cereal,"Rice, pasta, cornmeal",Bakery products,Bread,"Fresh biscuits, rolls, muffins","Cakes, cupcakes, and cookies",Other bakery products,Beef and veal,Uncooked ground beef,Uncooked beef roasts,Uncooked beef steaks,Pork,"Bacon, breakfast sausage, and related products",Ham,Pork chops,"Other pork including roasts, steaks, and ribs",Other meats,Poultry,Chicken,Other uncooked poultry including turkey,Fish and seafood,Fresh fish and seafood,Processed fish and seafood,Eggs,Dairy and related products,Milk,Cheese and related products,Ice cream and related products,Other dairy and related products,Fresh fruits,Apples,Bananas,Citrus fruits,Other fresh fruits,Fresh vegetables,Potatoes,Lettuce,Tomatoes,Other fresh vegetables,Processed fruits and vegetables,Canned fruits and vegetables,Frozen fruits and vegetables,Other processed fruits and vegetables including dried,Juices and nonalcoholic drinks,Carbonated drinks,Nonfrozen noncarbonated juices and drinks,Beverage materials including coffee and tea,Coffee,Other beverage materials including tea,Sugar and sweets,Sugar and sugar substitutes,Candy and chewing gum,Other sweets,Fats and oils,Butter and margarine,Salad dressing,Other fats and oils including peanut butter,Other foods,Soups,Frozen and freeze dried prepared foods,Snacks,"Spices, seasonings, condiments, sauces",Other miscellaneous foods,Food away from home,Full service meals and snacks,Food at employee sites and schools,Other food away from home,Alcoholic beverages at home,"Beer, ale, and other malt beverages at home",Distilled spirits at home,Wine at home,Alcoholic beverages away from home,Tobacco and smoking products,Cigarettes,Miscellaneous personal services,Legal services,NA,Weighted median,Trim 10,Trim 20,Diffusion,Prop. increasing,Volatility,Excl. energy & food
2024-09-01,Six months,1.76610100209769,2.58818027040253,4.16366184550767,3.77666904096308,,-8.38163347304087,1.68713181833864,-0.070646672434449,1.28696392813565,1.81456293092142,0.420467997700169,1.69149431727982,2.54279242922215,3.95603564653051,2.9598402829583,2.46728567496164,4.75910871084653,-1.37238597154251,-14.3531898938294,-3.52091894218179,-3.71782711411692,-1.25570080150729,-0.257576899118994,-2.94825610583768,0.44974576480703,4.47473968876682,-2.42543881363806,-2.56486300523143,-7.16535016257921,1.77704225486051,2.23694976570197,2.27619433400548,1.20478466847651,0.936434214090287,3.737939130246,1.2718228394079,2.55983846312766,0.526544325597045,0.80577714411123,-0.235428245647784,0.0205785512155554,1.61205736379002,3.5865273492526,2.76677373506249,2.48863186705695,3.35749715238172,-0.0666890003352627,-1.38786221408057,0.270036345590308,-1.35957536765067,2.63343454655582,2.35598877306142,2.69566681470643,-0.137317450949126,2.10464894266884,-3.01989462097642,-3.33458292726633,-4.68062689844619,-4.18608835397323,-0.094293428670611,-1.46644248083867,0.764558652683389,3.540069035691,-0.95359189501858,4.37135964072823,1.87522277783139,5.1337903794046,2.40912180682347,3.55011598787383,-2.85287623815903,-2.87931728634427,-3.97716659391409,-0.661079506666218,-9.38707885740956,-3.3930555970957,-1.21265192958945,5.53780611305463,14.505027653802,5.65504227490892,-4.30253352936715,-0.140724149131366,3.9108255579636,11.6992581362153,-1.17015082406252,-0.774746788989622,0.256050737719837,1.36288301963794,-2.01319749252133,-6.20866060165938,9.07916864455267,-1.96417964572858,8.95994043395509,,4.37248716660799,3.17958066251196,5.29544157659025,7.82231182881838,0.697504427851348,4.65916364846668,4.8718110348168,3.28822132399216,-5.41527000120052,-6.04888432210196,-2.89938722556429,-10.6261111161819,-8.62558261247933,1.45673968876596,0.941895783287383,2.65841947857082,-0.365494761474328,0.768403315367228,0.324389866070574,-2.09804227414755,2.42462527331548,0.504075416920946,3.76531799336419,11.2165947068178,4.14234928173878,0.856049476646836,1.59148593821943,-0.326407792305949,1.74314550989054,7.88642942581677,2.09382314437954,1.57544190184256,-1.48211607403524,-0.933022615113943,-3.44552087008867,-0.501783743919459,-1.41424960365447,-0.170028162702773,36.9632433685553,2.54648439965752,2.11418091450735,0.910899616346095,4.21875711871957,2.2753657983112,3.18834334674758,-1.46645639708423,-2.21188164638959,2.94999724295233,7.61448080775282,-1.82884366224924,-4.32577690012546,-3.77557042545655,-4.7098754120996,0.3079183680468,-0.344762792720121,-1.62029147237097,-1.51011252874862,3.36100444503151,-1.2854094463947,-0.967519351374668,-1.18378122276733,2.10323711658384,1.33984592734691,3.67894295555922,0.238770143925549,2.49216102357372,-0.596279867347027,-1.12749954403052,3.30491582079098,7.892378602841,5.15001068355341,1.36587463951967,-0.514878567818156,-0.300013555005452,-1.83935322958299,-2.96295792968323,2.93994213304194,0.267550525026117,3.90969875405969,4.33967959705497,5.72525414788034,5.4429338552227,1.2664041016665,2.62982859940697,-0.231943252012734,0.0251802990531624,2.24805426987542,7.17314476774691,7.36468298047894,3.81781177437013,4.86515496787856,,3.69380649412849,3.44610556248011,4.65340200241274,0.09016,0.65625,,2.58818027040253
2024-08-01,Six months,2.00920764601396,2.73364704338273,4.56983628722518,4.12827301666914,,-5.63689471615647,2.05116849304208,0.26532391686005,1.22080449120181,1.84293814998908,0.575934838636827,1.94420020722068,2.58979525079843,3.21700660462343,2.0965279438802,0.0343881639649934,6.21157126993317,-1.29184190863855,-9.44521612535059,-3.08093392225793,-3.25879635384102,-1.77723035868967,-0.614400418434768,-4.38789540983751,0.639563575610014,3.45290096383835,-1.37484652443307,-1.52505673858931,-7.72837509601945,2.12000383200501,1.72912620365089,1.74086947113039,0.431776022507724,-1.33441925322941,3.91169321858895,1.92229084693609,2.78995161824449,-0.677021979004788,-0.9592318908899,0.200702408127085,-0.968216742432237,1.53548085316793,4.06134527839006,3.15878560214811,2.43993245847123,3.64931768897399,-0.216073860933796,-1.28953477101446,0.0990814544929997,-1.71293800947673,2.76235244263223,4.10351140190752,2.46100700688685,-0.49949214723638,0.89615637388416,-3.05841753148033,-3.37157375078455,-5.01274620797086,-4.48467097515826,0.305955443207151,-1.60057497683972,1.50679073933651,3.87339845494261,-1.07991732170393,4.7765581650782,2.49898846635734,5.61064314676065,2.95153636505605,4.21487903724957,-1.93941989057425,-1.42026760593903,-5.0674599882724,-2.78426118683424,-14.258489909602,-0.389523710671524,-1.47615819367864,3.25685103286457,8.93061170335299,6.02497124741879,-1.10528354828988,3.07652345521725,2.80065564976719,9.46250285601089,7.52090904838187,-2.09198238795921,1.46890538517879,-2.55402911395067,-5.27189922436998,-6.3681845468483,3.56178923402817,-3.75944469620252,7.7557839955305,,3.62529277738328,2.0221488626921,5.30144880380679,4.47360043649057,1.24425832346295,6.46917028084364,6.8423042376079,4.06982572042918,-3.10188554103217,-4.86109481863483,1.1300459677744,-11.0737732512812,-8.35869498501772,-2.44934181377087,1.2874137219423,0.290964596572496,-3.5961617375883,-0.581164670855616,-1.00698285888156,1.753037626766,-2.08078980151917,-0.436662909043806,3.35257602422423,11.8202633970724,3.22379465527092,0.587126598596721,2.68482332607016,-0.0854209076443846,-0.591281517635722,18.022662774903,4.31122548779892,1.85849218804515,0.537758912321729,0.165242999670823,0.712749160731874,0.114114492291084,-1.36818966671486,2.59378841378035,31.5198452922863,1.60287681538793,2.65201842142442,-1.37330086656776,3.94894509171575,1.67061485841882,0.870263755453515,-6.46052012302734,-1.17930281027375,-1.3993167734232,2.57788859747992,-2.97274841356814,-6.15659061860043,9.07602201024471,-6.24097326958886,-3.41092443747241,0.209397135568157,-0.374238200349564,-1.30080954625537,4.29138250028949,0.0868065429546983,-0.207897872038798,0.129028914868545,0.339133693344351,-1.08794630081778,2.34383185425437,0.992391435468654,1.84843285010405,0.0244971699746133,1.67713688518265,-0.256325971680782,-0.972793260349336,-3.7825937557377,2.84422457830822,-1.42883519303897,-0.792734132319872,-2.33773060776158,-4.29729404019661,1.54285336189364,-0.843258761818888,3.74849697294279,3.93786828535014,2.91856567939719,5.74124597740397,0.895856108086779,1.46914885274669,0.290559268438617,-0.306059250725199,2.84204216095429,8.01431667560684,9.10010915531776,6.09106197562959,,,3.41999906063261,2.92379582266735,4.35439372906531,0.09906,0.71875,,2.73364704338273
2024-07-01,Six months,2.44999168543409,2.91157654833034,4.46677090331236,4.26800152599991,,-1.14146517429103,2.58751714918641,1.25188575645891,1.63167124857184,2.15026083168999,1.31974534260231,2.40119111985762,2.71716092028467,3.15106099122848,2.94524994832361,1.24774500780052,4.6987833673418,-0.402465479614245,-3.52852303944173,-1.57693563777052,-1.7010901630979,-1.18953394665438,-0.255182140699406,-3.92055983937366,1.36944993788197,3.38533243965884,-0.0803987746891721,-0.253220278365263,-5.9315039624177,2.65880864241499,1.57593904422073,1.57341554465036,0.376883882299484,-0.241797762909879,2.85214946119137,0.688678359621231,2.10539033521457,-0.720547171392094,-0.946685525195978,0.291163042923448,-0.29523739343198,1.6203190437639,3.05441899942658,2.13513919345816,3.38341151313184,3.78652912008173,1.97850272047853,1.5065166494145,0.136875363016831,-1.79162260432595,3.02377475612945,4.75564832315325,2.635627430517,0.155171390321684,1.28006841039687,-1.12693489682851,-1.31272590651724,-2.37832481377467,-2.06957517057766,0.613228044642544,-1.6651835294748,2.05934655094671,4.1421540139464,-0.313047059498972,4.69938089877462,2.69611893230191,6.59552940819155,3.63698815527322,4.42520879563044,0.0491554197601163,0.743971340710403,-4.41918817748633,-0.581279107301702,-14.3196106637098,-0.339679012759797,5.942517049018,2.81554165985363,6.40933484707353,2.66694043918312,1.01560907723945,12.1021981250658,0.801034689981583,1.16189048810618,20.6187041642528,2.16605252831852,4.84836025401361,1.5346254982548,-0.518039663241809,-0.00484470695508721,3.10154474505433,-1.0338936789088,3.70189028069043,,3.5517940982323,2.21920522365298,5.98978996678985,3.77526933865788,0.458880910307635,8.85020732278932,9.34838525161288,5.68577243198796,-0.368767858461505,-2.79028112428877,4.58735452598917,-9.35095056810205,-6.38895444359551,-0.796498933193546,1.60156358509724,3.93689429765274,-2.22518160428516,0.620133146584645,-1.93468106902724,1.05963257300472,1.71024257800478,0.615689639272032,3.47352672361869,10.6234206843291,3.5354873863795,-2.1900543670786,1.75469838699271,2.85779003413524,3.41488637453822,8.22196848435852,-0.0818965215470757,-0.00829832477210468,-3.08133751725465,-2.97495786706877,-3.31078097152741,-0.308877474243818,-0.427648673345671,-0.0750414866428795,35.2262334443525,-0.214058693300279,0.79705789950224,-3.61064772688064,-0.75632552343009,1.33866116934509,-2.7255268068366,-8.99444565773661,2.15318644594655,-5.66440862836495,-2.34275459269866,1.10195791260514,-5.00923246650087,16.8713957203807,-1.84810341442808,0.802837106271981,-0.0127934812161778,-0.427536977640885,-1.7270896463942,3.91205797766039,0.0990738808385183,1.47476748249951,-1.31167079323194,0.900784880353589,0.779581314624789,4.62579884319461,2.15000744510889,1.83734450496573,2.11276388562498,-0.316185731849483,2.50009102959663,1.11733770377411,0.962576653810343,3.48715753982796,-1.15061078872225,0.994841305739103,-2.72646186377561,-4.6634312146575,1.02622015335299,0.243439821738178,3.4058130151567,3.65645380903692,1.91511906026727,4.34297619760344,1.65332292579334,3.67365925839462,2.3874114901197,0.119428158520685,0.960449188882162,7.13376530583187,7.90645749852885,3.53453402399009,,,2.56826552074279,2.67046023414925,3.93235151813437,0.09008,0.65625,,2.91157654833034
2024-06-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-01,Six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
