date,All items,Food including alcohol and tobacco,Non-energy industrial goods,Energy,Services
Jun 2021,1.9003532708003437,0.12049079438650494,0.30381296813862213,1.196528321626066,0.3099031044214464
May 2021,1.9801980198019857,0.11746183500385554,0.17384493706137855,1.2461473316101581,0.460726669824731
Apr 2021,1.611918427158375,0.12899677876562124,0.10787971934513847,0.9837699551569495,0.3864616842354548
Mar 2021,1.3349663196570596,0.24387022801302913,0.07835819892473271,0.4136771530249113,0.5495664636331035
Feb 2021,0.9358453392439419,0.29303163398692844,0.2824474564540305,-0.15682399889913343,0.5151477761836447
Jan 2021,0.9004563957074184,0.31976492194673733,0.39486815345504833,-0.3934581640942326,0.6032011535688551
Dec 2020,-0.2686530711930625,0.25188853671421024,-0.14623367927686642,-0.681512624539374,0.3051652547428671
Nov 2020,-0.2817591571725956,0.355491473892927,-0.0759398194583766,-0.8207500000000011,0.25344189400313166
Oct 2020,-0.2686530711930625,0.38965799946935686,-0.032192964824120436,-0.8111099426386235,0.18155182672855114
Sep 2020,-0.3179261433113293,0.34438767923526636,-0.09129655017417335,-0.8089333607568913,0.2398895093263648
Aug 2020,-0.17156862745098111,0.3309793350112603,-0.042451926414439595,-0.769664107485605,0.2953361542078056
Jul 2020,0.380414774818999,0.3795873689797,0.42207299270073007,-0.8254476696647576,0.41786278439231733
Jun 2020,0.2687187003786477,0.6055322794899045,0.044022396416575016,-0.9182967881826817,0.5447203046893652
May 2020,0.0856373868363193,0.6513968106312275,0.0497250000000005,-1.1762361761949394,0.5867822435512915
Apr 2020,0.31851035158643287,0.6821785666622161,0.07904557640750969,-0.9497820097244732,0.5214941289240426
Mar 2020,0.7402837754472653,0.4658781366791239,0.12980099054479896,-0.4393406772745819,0.6028286129266519
Feb 2020,1.221488221363567,0.404833400080097,0.1275919786716129,-0.03242024413660609,0.725028550601384
Jan 2020,1.3628407101775308,0.39586435457953856,0.0789763560500711,0.18890727197461024,0.6898023426061521
Dec 2019,1.3239297203662552,0.3869107936935737,0.11532582380632163,0.020785010940917854,0.7994300983845521
Nov 2019,0.964749536178109,0.37158692722372044,0.09738691275167735,-0.3203529567403096,0.8274687232219345
Oct 2019,0.725707257072575,0.29198679956896567,0.0738605823068309,-0.31897037037036974,0.6824331802803265
Sep 2019,0.8384710234278753,0.29742988133764753,0.06240628519936737,-0.185482837528604,0.6486247589199657
Aug 2019,1.0151027482049928,0.39598512508451456,0.09189481017067574,-0.060753338784409604,0.5771328729610685
Jul 2019,1.029010662038183,0.3677502028671914,0.09202302057900155,0.0457708418891168,0.5197564698867045
Jun 2019,1.2615955473098457,0.3028029689608655,0.0621891345830041,0.17317270847691374,0.7262108382726472
May 2019,1.2134720158494177,0.2872898961284242,0.07678061338705798,0.3902341490545044,0.4745298896568424
Apr 2019,1.7196261682242933,0.28592048225413524,0.05611519086533012,0.5329599090133641,0.8636727739098513
Mar 2019,1.4012260728136998,0.3331434198017129,0.032707427025808464,0.5414378223495707,0.5062802056555308
Feb 2019,1.492726122707156,0.43092013651877054,0.0951457654723134,0.3612403409090895,0.6023654722324884
Jan 2019,1.394523326572019,0.3447845944103646,0.08589813953488407,0.26984218727865067,0.6999401412814453
Dec 2018,1.5326633165829133,0.34625850246845646,0.03858558760803547,0.5302248196248207,0.6118556827976875
