date,name,value
2022-02-01,Volatility,2.8647198640378746
2022-02-01,Excl. energy & food,5.60276429329302
2022-01-01,Weighted median,4.06792514151071
2022-01-01,Prop. increasing,0.9209039548022598
2022-01-01,Volatility,2.9442262354680633
2022-01-01,Excl. energy & food,5.358436597322187
2021-12-01,Weighted median,3.925867799810626
2021-12-01,Prop. increasing,0.8926553672316384
2021-12-01,Volatility,3.0134008174741513
2021-12-01,Excl. energy & food,5.214550124650605
2021-11-01,Weighted median,3.528449052795438
2021-11-01,Prop. increasing,0.903954802259887
2021-11-01,Volatility,3.0705207378331245
2021-11-01,Excl. energy & food,4.890866909710707
2021-10-01,Weighted median,3.158913349776605
2021-10-01,Prop. increasing,0.8926553672316384
2021-10-01,Volatility,3.117209183870439
2021-10-01,Excl. energy & food,4.436672448273572
2021-09-01,Weighted median,2.88717245886165
2021-09-01,Prop. increasing,0.8587570621468926
2021-09-01,Volatility,3.125256145436533
2021-09-01,Excl. energy & food,4.013850678303775
2021-08-01,Weighted median,2.55855986775779
2021-08-01,Prop. increasing,0.8361581920903954
2021-08-01,Volatility,3.13443750502469
2021-08-01,Excl. energy & food,3.9584580447155737
2021-07-01,Weighted median,2.709727084482633
2021-07-01,Prop. increasing,0.8700564971751412
2021-07-01,Volatility,3.0591260003548553
2021-07-01,Excl. energy & food,3.927118175667314
2021-06-01,Weighted median,2.5597385907028816
2021-06-01,Prop. increasing,0.7966101694915254
2021-06-01,Volatility,2.973854934519156
2021-06-01,Excl. energy & food,3.8617128102137395
2021-05-01,Weighted median,2.7949355542404453
2021-05-01,Prop. increasing,0.7966101694915254
2021-05-01,Volatility,2.855480629623734
2021-05-01,Excl. energy & food,3.54111990191759
2021-04-01,Weighted median,2.22760525168355
2021-04-01,Prop. increasing,0.7909604519774012
2021-04-01,Volatility,2.5697256935655988
2021-04-01,Excl. energy & food,3.1306032044336627
2021-03-01,Weighted median,2.31659481921629
2021-03-01,Prop. increasing,0.751412429378531
2021-03-01,Volatility,2.2130295109678815
2021-03-01,Excl. energy & food,2.1991360195733636
2021-02-01,Weighted median,2.01198000881964
2021-02-01,Prop. increasing,0.7288135593220338
2021-02-01,Volatility,2.1248636884996164
2021-02-01,Excl. energy & food,1.7094670091967474
2021-01-01,Weighted median,2.234387700596753
2021-01-01,Prop. increasing,0.7231638418079096
2021-01-01,Volatility,2.109900909389439
2021-01-01,Excl. energy & food,1.697493947773834
2020-12-01,Weighted median,2.17628258419702
2020-12-01,Prop. increasing,0.7231638418079096
2020-12-01,Volatility,2.098870550622927
2020-12-01,Excl. energy & food,1.508790092214488
2020-11-01,Weighted median,2.2648418254425606
2020-11-01,Prop. increasing,0.7175141242937854
2020-11-01,Volatility,2.087258257168916
2020-11-01,Excl. energy & food,1.4535218844868052
2020-10-01,Weighted median,2.50951629375174
2020-10-01,Prop. increasing,0.7062146892655368
2020-10-01,Volatility,2.0927705081070656
2020-10-01,Excl. energy & food,1.4217326104510315
2020-09-01,Weighted median,2.48737244542013
2020-09-01,Prop. increasing,0.751412429378531
2020-09-01,Volatility,2.0842225599741027
2020-09-01,Excl. energy & food,1.4796915464076246
2020-08-01,Weighted median,2.4345782568631593
2020-08-01,Prop. increasing,0.6779661016949152
2020-08-01,Volatility,2.0558103090429936
2020-08-01,Excl. energy & food,1.3931038469319903
2020-07-01,Weighted median,2.1139051833222338
2020-07-01,Prop. increasing,0.655367231638418
2020-07-01,Volatility,2.003406253884519
2020-07-01,Excl. energy & food,1.2143366963097284
2020-06-01,Weighted median,2.5253656702891822
2020-06-01,Prop. increasing,0.672316384180791
2020-06-01,Volatility,1.9529454723776138
2020-06-01,Excl. energy & food,0.9704519119351057
2020-05-01,Weighted median,2.316051158626684
2020-05-01,Prop. increasing,0.6497175141242938
2020-05-01,Volatility,1.8255260869638288
2020-05-01,Excl. energy & food,0.9973783749794487
