date,Eurozone,United Kingdom,Japan,United States,type
2020-10-01,114.70184050552393,110.83740652426414,109.16471002369745,129.8040652414843,Index
2020-09-01,113.86658756782198,110.53051348026055,108.80434900946084,128.73317554846378,Index
2020-08-01,113.45569078752787,110.37362424782926,108.19621711660382,127.12508846189796,Index
2020-07-01,112.98581278777992,110.33173793760334,107.43303563328095,126.66542041099733,Index
2020-06-01,112.2475188024069,109.52155341652124,106.604441186397,125.57792324845443,Index
2020-05-01,111.0617219601311,108.34742522146054,104.75881578040115,123.58627872508045,Index
2020-04-01,109.50660666813549,107.23592156849888,103.38351048966275,117.71950234340575,Index
2020-03-01,107.39091260577828,104.13961338361877,102.9226258088163,110.71398766206889,Index
2020-02-01,105.60955975834847,100.97035252535106,102.52588393689871,107.0671876460456,Index
2020-01-01,105.18194591730798,100.26336734785885,102.29752827908563,106.71901496842078,Index
2019-12-01,105.31233899112966,99.94344118580062,102.06055371483939,106.24340708496348,Index
2019-11-01,105.09175951779423,99.54580813119023,101.82566583320329,105.7505240950181,Index
2019-10-01,104.4673987310465,99.49179036516502,101.49424619951589,104.99250577505975,Index
2019-09-01,104.37258299163375,99.99590153520295,101.25073941144663,104.0517218357346,Index
2019-08-01,104.03464117900714,99.9872127898332,101.02855307613306,103.38233232297607,Index
2019-07-01,103.34761284658968,99.57392359969802,100.85907815805804,102.82026545245758,Index
2019-06-01,102.84241469798273,99.310802159727,100.67944200292497,102.25193948538544,Index
2019-05-01,102.24120061072995,99.06128762288222,100.59924081043124,101.42815892430333,Index
2019-04-01,101.6241267478973,98.78095263076357,100.41769942334979,100.75109158643896,Index
2019-03-01,100.80516222835848,98.5968495920798,100.285149714941,100.55522359161982,Index
2019-02-01,100.11993419479062,99.00112215966143,100.1376303269378,100.24301985552336,Index
2019-01-01,100,100,100,100,Index
2025-12-01,2.8621510823631664,4.362182967066343,NA,NA,Annual growth
2025-11-01,2.981205732945834,4.301707063413727,1.170553060867851,4.271325372851931,Annual growth
2025-10-01,2.873026305243402,4.357016277959333,1.066915134343694,4.645637928673829,Annual growth
2025-09-01,2.797890241951395,4.455625427387662,1.0126146727881238,4.492536636268763,Annual growth
2025-08-01,3.1335490930863927,4.043493011536362,0.8183554133403221,4.427277743516505,Annual growth
2025-07-01,3.3135090309034028,3.461868037703512,0.5685394457102533,4.4801747379074275,Annual growth
2025-06-01,3.7539587786587107,3.048104937704811,0.4037432461506336,4.225044021015564,Annual growth
2025-05-01,4.196099993004658,2.7001424296531837,0.21583995364510788,3.992457459774478,Annual growth
2025-04-01,3.9634867053234157,2.3813591673184975,0.07666829758275764,4.021220709200237,Annual growth
