Central bank,date,Policy rate,Today,Last month,Start of year
BoJ,19294,-0.1,,,
BoJ,19295,-0.1,,,
BoJ,19296,-0.1,,,
BoJ,19297,-0.1,,,
BoJ,19298,-0.1,,,
BoJ,19299,-0.1,,,
BoJ,19300,-0.1,,,
BoJ,19301,-0.1,,,
BoJ,19302,-0.1,,,
BoJ,19303,-0.1,,,
BoJ,19304,-0.1,,,
BoJ,19305,-0.1,,,
BoJ,19306,-0.1,,,
BoJ,19307,-0.1,,,
BoJ,19308,-0.1,,,
BoJ,19309,-0.1,,,
BoJ,19310,-0.1,,,
BoJ,19311,-0.1,,,
BoJ,19312,-0.1,,,
BoJ,19313,-0.1,,,
BoJ,19314,-0.1,,,
BoJ,19315,-0.1,,,
BoJ,19316,-0.1,,,
BoJ,19317,-0.1,,,
BoJ,19318,-0.1,,,
BoJ,19319,-0.1,,,
BoJ,19320,-0.1,,,
BoJ,19321,-0.1,,,
BoJ,19322,-0.1,,,
BoJ,19323,-0.1,,,
BoJ,19324,-0.1,,,
BoJ,19325,-0.1,,,
BoJ,19326,-0.1,,,
BoJ,19327,-0.1,,,
BoJ,19328,-0.1,,,
BoJ,19329,-0.1,,,
BoJ,19330,-0.1,,,
BoJ,19331,-0.1,,,
BoJ,19332,-0.1,,,
BoJ,19333,-0.1,,,
BoJ,19334,-0.1,,,
BoJ,19335,-0.1,,,
BoJ,19336,-0.1,,,
BoJ,19337,-0.1,,,
BoJ,19338,-0.1,,,
BoJ,19339,-0.1,,,
BoJ,19340,-0.1,,,
BoJ,19341,-0.1,,,
BoJ,19342,-0.1,,,
BoJ,19343,-0.1,,,
BoJ,19344,-0.1,,,
BoJ,19345,-0.1,,,
BoJ,19346,-0.1,,,
BoJ,19347,-0.1,,,
BoJ,19348,-0.1,,,
BoJ,19349,-0.1,,,
BoJ,19350,-0.1,,,
BoJ,19351,-0.1,,,
BoJ,19352,-0.1,,,
BoJ,19353,-0.1,,,
BoJ,19354,-0.1,,,
BoJ,19355,-0.1,,,
BoJ,19356,-0.1,,,
BoJ,19357,-0.1,,,
BoJ,19358,-0.1,,,
BoJ,19359,-0.1,,,
BoJ,19360,-0.1,,,
BoJ,19361,-0.1,,,
BoJ,19362,-0.1,,,
BoJ,19363,-0.1,,,
BoJ,19364,-0.1,,,
BoJ,19365,-0.1,,,
BoJ,19366,-0.1,,,
BoJ,19367,-0.1,,,
BoJ,19368,-0.1,,,
BoJ,19369,-0.1,,,
BoJ,19370,-0.1,,,
BoJ,19371,-0.1,,,
BoJ,19372,-0.1,,,
BoJ,19373,-0.1,,,
BoJ,19374,-0.1,,,
