Central bank,date,Policy rate,Today,Last month,Start of year
Fed,19545,5.125,,,
Fed,19546,5.125,,,
Fed,19547,5.125,,,
Fed,19548,5.125,,,
Fed,19549,5.125,,,
Fed,19550,5.125,,,
Fed,19551,5.125,,,
Fed,19552,5.125,,,
Fed,19553,5.125,,,
Fed,19554,5.125,,,
Fed,19555,5.125,,,
Fed,19556,5.125,,,
Fed,19557,5.125,,,
Fed,19558,5.125,,,
Fed,19559,5.125,,,
Fed,19560,5.125,,,
Fed,19561,5.125,,,
Fed,19562,5.125,,,
Fed,19563,5.125,,,
Fed,19564,5.125,,,
Fed,19565,5.375,,,
Fed,19566,5.375,,,
Fed,19567,5.375,,,
Fed,19568,5.375,,,
Fed,19569,5.375,,,
Fed,19570,5.375,,,
Fed,19571,5.375,,,
Fed,19572,5.375,,,
Fed,19573,5.375,,,
Fed,19574,5.375,,,
Fed,19575,5.375,,,
Fed,19576,5.375,,,
Fed,19577,5.375,,,
Fed,19578,5.375,,,
Fed,19579,5.375,,,
Fed,19580,5.375,,,
Fed,19581,5.375,,,
Fed,19582,5.375,,,
Fed,19583,5.375,,,
Fed,19584,5.375,,,
Fed,19585,5.375,,,
Fed,19586,5.375,,,
Fed,19587,5.375,,,
Fed,19588,5.375,,,
Fed,19589,5.375,,,
Fed,19590,5.375,,,
Fed,19591,5.375,,,
Fed,19592,5.375,,,
Fed,19593,5.375,,,
Fed,19594,5.375,,,
Fed,19595,5.375,,,
Fed,19596,5.375,,,
Fed,19597,5.375,,,
Fed,19598,5.375,,,
Fed,19599,5.375,,,
Fed,19600,5.375,,,
Fed,19601,5.375,,,
Fed,19602,5.375,,,
Fed,19603,5.375,,,
Fed,19604,5.375,,,
Fed,19605,5.375,,,
Fed,19606,5.375,,,
Fed,19607,5.375,,,
Fed,19608,5.375,,,
Fed,19609,5.375,,,
Fed,19610,5.375,,,
Fed,19611,5.375,,,
Fed,19612,5.375,,,
Fed,19613,5.375,,,
Fed,19614,5.375,,,
Fed,19615,5.375,,,
Fed,19616,5.375,,,
Fed,19617,5.375,,,
Fed,19618,5.375,,,
Fed,19619,5.375,,,
Fed,19620,5.375,,,
Fed,19621,5.375,,,
Fed,19622,5.375,,,
Fed,19623,5.375,,,
Fed,19624,5.375,,,
Fed,19625,5.375,,,
Fed,19626,5.375,,,
Fed,19627,5.375,,,
Fed,19628,5.375,,,
Fed,19629,5.375,,,
Fed,19630,5.375,,,
Fed,19631,5.375,,,
Fed,19632,5.375,,,
Fed,19633,5.375,,,
Fed,19634,5.375,,,
Fed,19635,5.375,,,
Fed,19636,5.375,,,
Fed,19637,5.375,,,
Fed,19638,5.375,,,
Fed,19639,5.375,,,
Fed,19640,5.375,,,
Fed,19641,5.375,,,
Fed,19642,5.375,,,
Fed,19643,5.375,,,
Fed,19644,5.375,,,
Fed,19645,5.375,,,
Fed,19646,5.375,,,
Fed,19647,5.375,,,
Fed,19648,5.375,,,
Fed,19649,5.375,,,
Fed,19650,5.375,,,
Fed,19651,5.375,,,
Fed,19652,5.375,,,
Fed,19653,5.375,,,
Fed,19654,5.375,,,
Fed,19655,5.375,,,
Fed,19656,5.375,,,
Fed,19657,5.375,,,
Fed,19658,5.375,,,
Fed,19659,5.375,,,
Fed,19660,5.375,,,
Fed,19661,5.375,,,
Fed,19662,5.375,,,
Fed,19663,5.375,,,
Fed,19664,5.375,,,
Fed,19665,5.375,,,
Fed,19666,5.375,,,
Fed,19667,5.375,,,
Fed,19668,5.375,,,
Fed,19669,5.375,,,
Fed,19670,5.375,,,
Fed,19671,5.375,,,
Fed,19672,5.375,,,
Fed,19673,5.375,,,
Fed,19674,5.375,,,
Fed,19675,5.375,,,
Fed,19676,5.375,,,
Fed,19677,5.375,,,
Fed,19678,5.375,,,
Fed,19679,5.375,,,
Fed,19680,5.375,,,
Fed,19681,5.375,,,
Fed,19682,5.375,,,
Fed,19683,5.375,,,
Fed,19684,5.375,,,
Fed,19685,5.375,,,
Fed,19686,5.375,,,
Fed,19687,5.375,,,
Fed,19688,5.375,,,
Fed,19689,5.375,,,
Fed,19690,5.375,,,
Fed,19691,5.375,,,
Fed,19692,5.375,,,
Fed,19693,5.375,,,
Fed,19694,5.375,,,
Fed,19695,5.375,,,
Fed,19696,5.375,,,
Fed,19697,5.375,,,
Fed,19698,5.375,,,
Fed,19699,5.375,,,
Fed,19700,5.375,,,
Fed,19701,5.375,,,
Fed,19702,5.375,,,
Fed,19703,5.375,,,
Fed,19704,5.375,,,
Fed,19705,5.375,,,
Fed,19706,5.375,,,
Fed,19707,5.375,,,
Fed,19708,5.375,,,
Fed,19709,5.375,,,
Fed,19710,5.375,,,
Fed,19711,5.375,,,
Fed,19712,5.375,,,
Fed,19713,5.375,,,
Fed,19714,5.375,,,
Fed,19715,5.375,,,
Fed,19716,5.375,,,
Fed,19717,5.375,,,
Fed,19718,5.375,,,
Fed,19719,5.375,,,
Fed,19720,5.375,,,
Fed,19721,5.375,,,
Fed,19722,5.375,,,
Fed,19723,5.375,,,
Fed,19724,5.375,,,
Fed,19725,5.375,,,
Fed,19726,5.375,,,
Fed,19727,5.375,,,
Fed,19728,5.375,,,
Fed,19729,5.375,,,
Fed,19730,5.375,,,
Fed,19731,5.375,,,
Fed,19732,5.375,,,
Fed,19733,5.375,,,
Fed,19734,5.375,,,
Fed,19735,5.375,,,
Fed,19736,5.375,,,
Fed,19737,5.375,,,
Fed,19738,5.375,,,
Fed,19739,5.375,,,
Fed,19740,5.375,,,
Fed,19741,5.375,,,
Fed,19742,5.375,,,
Fed,19743,5.375,,,
Fed,19744,5.375,,,
Fed,19745,5.375,,,
Fed,19746,5.375,,,
Fed,19747,5.375,,,
Fed,19748,5.375,,,
Fed,19749,5.375,,,
Fed,19750,5.375,,,
Fed,19751,5.375,,,
Fed,19752,5.375,,,
Fed,19753,5.375,,,
Fed,19754,5.375,,,
Fed,19755,5.375,,,
Fed,19756,5.375,,,
Fed,19757,5.375,,,
Fed,19758,5.375,,,
Fed,19759,5.375,,,
Fed,19760,5.375,,,
Fed,19761,5.375,,,
Fed,19762,5.375,,,
Fed,19763,5.375,,,
Fed,19764,5.375,,,
Fed,19765,5.375,,,
Fed,19766,5.375,,,
