date,claimant_count,claimant_rate,vacancies,unemployed,unemployed_job,job_unemployed,vu,unemp_rate,vu_alt,search_unemployment_benefits,claimant_count_mom,unemployed_mom,search_unemployment_benefits_mom,claimant_count_yoy,unemployed_yoy,search_unemployment_benefits_yoy
2018-05-01,880112,2.5,819,1408,1.7,0.5882352941176471,0.5816761363636364,4.2,0.9305633828421838,16,1.601169188286876,-0.5649717514124294,-5.88235294117647,10.680295378176623,-5.439892545332438,-44.827586206896555
2018-04-01,866242,2.4,812,1416,1.7,0.5882352941176471,0.5734463276836158,4.3,0.9373823942962821,17,1.3582422417081463,-0.07057163020465773,0,9.409492726806553,-6.842105263157896,-29.166666666666668
2018-03-01,854634,2.4,814,1417,1.7,0.5882352941176471,0.5744530698659139,4.3,0.9524545009910675,17,1.406655837414079,-0.14094432699083861,-22.727272727272727,9.174453734279492,-7.203667321545513,-37.03703703703704
2018-02-01,842779,2.3,815,1419,1.7,0.5882352941176471,0.5743481324876674,4.3,0.9670388085132638,22,1.1913209590601987,-2.205375603032391,0,9.689716658206759,-8.451612903225806,-12
2018-01-01,832857,2.3,822,1451,1.8,0.5555555555555556,0.5665058580289456,4.4,0.9869641487074011,22,1.0778226550287873,-0.8202323991797676,22.22222222222222,7.840705008267481,-7.75588048315321,-8.333333333333332
2017-12-01,823976,2.3,821,1463,1.8,0.5555555555555556,0.5611756664388243,4.4,0.9963882443177957,18,1.541904508394704,1.8093249826026443,-10,5.570004945535053,-7.697160883280757,12.5
2017-11-01,811464,2.3,819,1437,1.8,0.5555555555555556,0.569937369519833,4.3,1.0092869184584898,20,0.9186931102369549,1.0548523206751055,-20,3.076162881535274,-10.299625468164795,-4.761904761904762
2017-10-01,804077,2.3,809,1422,1.8,0.5555555555555556,0.5689170182841069,4.3,1.0061225479649336,25,0.44170129949621567,-0.489853044086774,4.166666666666666,2.688023048954764,-11.841289522628642,-30.555555555555557
2017-09-01,800541,2.2,799,1429,1.8,0.5555555555555556,0.5591322603219034,4.3,0.9980750517462565,24,0.3569037751318174,-1.5840220385674932,4.3478260869565215,2.6817746298578946,-11.681087762669963,-40
2017-08-01,797694,2.2,794,1452,1.8,0.5555555555555556,0.546831955922865,4.4,0.9953691515794277,23,0.046279747907064246,-0.34317089910775567,-4.166666666666666,2.7001973681669478,-12.949640287769784,-34.285714285714285
2017-07-01,797325,2.2,785,1457,1.9,0.5263157894736842,0.5387783115991764,4.4,0.9845420625215564,24,0.04115448364297482,-1.8855218855218854,-20,3.270273910858516,-10.886850152905199,-35.13513513513514
2017-06-01,796997,2.2,782,1485,1.9,0.5263157894736842,0.5265993265993266,4.5,0.9811831161221435,30,0.22799754522223786,-0.2686366689053056,3.4482758620689653,3.181417435783243,-9.616555082166768,-28.57142857142857
2017-05-01,795184,2.2,783,1489,1.9,0.5263157894736842,0.5258562793821356,4.5,0.9846777601158977,29,0.4346107259552658,-2.0394736842105265,20.833333333333336,3.6360674325706874,-9.648058252427184,-25.64102564102564
2017-04-01,791743,2.2,788,1520,1.9,0.5263157894736842,0.5184210526315789,4.6,0.9952724558347847,24,1.1404993516986772,-0.45841519318926005,-11.11111111111111,3.475798146240989,-8.763505402160865,-40
