date,Period,All items,FT core
1985-12-01,One year,3.7914691943127963,4.78331697514517
1985-11-01,One year,3.5137701804368495,4.63700793177515
1985-10-01,One year,3.2350142721217945,4.098250746106376
1985-09-01,One year,3.2473734479465053,4.0710240692732524
1985-08-01,One year,3.3524904214559386,4.349036919816719
1985-07-01,One year,3.4582132564841586,4.203080975656136
1985-06-01,One year,3.6644165863066505,4.404612816703608
1985-05-01,One year,3.5748792270531426,4.55853134167142
1985-04-01,One year,3.5818005808325295,4.29735225639984
1985-03-01,One year,3.7900874635568425,4.61532693935164
1985-02-01,One year,3.606237816764136,4.712873618106894
1985-01-01,One year,3.5259549461312525,4.491555526865835
1984-12-01,One year,4.043392504930961,4.757955874213641
1984-11-01,One year,4.1543026706231485,4.830720941031562
1984-10-01,One year,4.265873015873013,4.898387633329788
1984-09-01,One year,4.282868525896411,4.923714739223334
1984-08-01,One year,4.295704295704307,4.955020640811447
1984-07-01,One year,4.308617234468935,4.802774800809738
1984-06-01,One year,4.325955734406436,4.619651588729452
1984-05-01,One year,4.334677419354835,4.620838251637086
1984-04-01,One year,4.554655870445344,4.742966746659931
1984-03-01,One year,4.892966360856281,4.917584304305186
1984-02-01,One year,4.693877551020402,4.694930688981485
1984-01-01,One year,4.290091930541357,4.599633473814552
1983-12-01,One year,3.7871033776867993,4.535666488938624
1983-11-01,One year,3.1632653061224434,4.468305848175044
1983-10-01,One year,2.7522935779816544,4.098550904844176
1983-09-01,One year,2.7635619242579352,4.161799946678971
1983-08-01,One year,2.4564994882292646,3.926520053073684
1983-07-01,One year,2.358974358974356,3.92660622182548
1983-06-01,One year,2.474226804123717,4.120632289238519
1983-05-01,One year,3.44108446298227,4.574616436435405
1983-04-01,One year,3.9999999999999973,4.638702452298779
1983-03-01,One year,3.590285110876443,4.821108982825556
1983-02-01,One year,3.4846884899683177,4.95387099425667
1983-01-01,One year,3.7076271186440675,4.994702059251843
1982-12-01,One year,3.825717321997884,5.0045634851460274
1982-11-01,One year,4.477611940298511,5.5201231358577285
1982-10-01,One year,5.032119914346882,5.886445754873373
1982-09-01,One year,4.940923737916228,5.894596091439756
1982-08-01,One year,5.96529284164859,6.635744125879436
1982-07-01,One year,6.557377049180328,7.098434215970409
1982-06-01,One year,7.18232044198895,7.5137357532826705
1982-05-01,One year,6.911928651059089,7.656473813568505
1982-04-01,One year,6.621773288439963,7.63928332841267
1982-03-01,One year,6.884875846501139,7.691241242955843
1982-02-01,One year,7.613636363636367,8.094013168667548
1982-01-01,One year,8.256880733944957,8.132858735259196
1981-12-01,One year,8.912037037037024,8.699311403856987
1981-11-01,One year,9.579439252336453,9.28931913541183
1981-10-01,One year,10.271546635183002,9.553475234431911
1981-09-01,One year,10.965435041716315,10.016507616108035
1981-08-01,One year,10.817307692307692,9.87472863329782
1981-07-01,One year,10.774818401937052,9.705501252067675
1981-06-01,One year,9.696969696969697,8.926271006203642
1981-05-01,One year,9.791921664626683,9.074833942825066
1981-04-01,One year,10.13597033374535,9.161329168667251
1981-03-01,One year,10.611735330836455,9.617760436080268
1981-02-01,One year,11.39240506329114,10.094115395281545
1981-01-01,One year,11.7948717948718,10.535031669950232
1980-12-01,One year,12.35370611183355,11.254936757494429
1980-11-01,One year,12.631578947368412,11.319903304399169
1980-10-01,One year,12.632978723404257,11.18385299885966
1980-09-01,One year,12.768817204301076,11.128998399767053
1980-08-01,One year,12.890094979647218,10.447530616036513
1980-07-01,One year,13.150684931506843,10.572844133560764
1980-06-01,One year,14.265927977839329,11.292964887269907
1980-05-01,One year,14.425770308123246,11.153680946689587
1980-04-01,One year,14.58923512747877,11.317407051089967
1980-03-01,One year,14.592274678111568,11.268694753473003
1980-02-01,One year,14.161849710982654,11.075942168337564
1980-01-01,One year,13.86861313868613,11.225143688952603
1979-12-01,One year,13.25478645066274,10.89277595266481
1979-11-01,One year,12.592592592592592,10.699489982840774
1979-10-01,One year,12.071535022354709,10.36931924812519
1979-09-01,One year,11.879699248120309,10.142689673539202
1979-08-01,One year,11.836115326251893,10.156581986863626
1979-07-01,One year,11.450381679389313,9.845142119156671
1979-06-01,One year,11.076923076923082,9.490336960428955
1979-05-01,One year,10.69767441860466,9.383088238924685
1979-04-01,One year,10.48513302034428,9.26086927172815
1979-03-01,One year,10.25236593059938,9.389978851728742
1979-02-01,One year,9.841269841269845,9.153129063800655
1979-01-01,One year,9.25039872408293,8.633683079131865
1978-12-01,One year,8.988764044943833,8.30951856912825
1978-11-01,One year,8.870967741935484,8.213434608739325
1978-10-01,One year,8.928571428571416,8.596388868201256
1978-09-01,One year,8.48287112561175,8.018765366562441
1978-08-01,One year,7.855973813420629,7.482980226638312
1978-07-01,One year,7.730263157894742,7.690309884196255
1978-06-01,One year,7.43801652892562,7.50120766275202
1978-05-01,One year,7.142857142857138,7.359615526043859
1978-04-01,One year,6.499999999999997,6.962199556070683
1978-03-01,One year,6.375838926174492,6.595629442427925
1978-02-01,One year,6.239460370994946,6.525036521331942
1978-01-01,One year,6.814310051107325,6.565472617676873
1977-12-01,One year,6.6780821917808195,6.725403837208073
1977-11-01,One year,6.712564543889843,6.541156289203007
1977-10-01,One year,6.390328151986188,6.394135401714496
1977-09-01,One year,6.423611111111104,6.348455975853559
1977-08-01,One year,6.631762652705069,6.515393528275874
1977-07-01,One year,6.666666666666661,6.527491525120249
1977-06-01,One year,6.7019400352733625,6.827295307778047
1977-05-01,One year,6.737588652482278,6.787031267351155
1977-04-01,One year,6.951871657754008,6.826383125063478
1977-03-01,One year,6.428571428571431,6.401878727964895
1977-02-01,One year,6.082289803220033,6.294923980564536
1977-01-01,One year,5.197132616487465,6.220480057428605
1976-12-01,One year,5.035971223021578,6.263468619979928
1976-11-01,One year,5.063291139240515,6.244202300837687
1976-10-01,One year,5.46448087431694,6.55969387796746
1976-09-01,One year,5.4945054945054945,6.4578476909633995
1976-08-01,One year,5.719557195571944,6.053277441197546
1976-07-01,One year,5.555555555555555,6.117272777882315
1976-06-01,One year,5.981308411214958,6.370252988000599
1976-05-01,One year,6.214689265536718,6.588391186177397
1976-04-01,One year,5.849056603773588,6.677473245903656
1976-03-01,One year,6.060606060606066,6.9448334307464155
1976-02-01,One year,6.273764258555127,7.036069729410235
1976-01-01,One year,6.692160611854685,7.61484145478425
1975-12-01,One year,7.129094412331412,7.701962935870086
1975-11-01,One year,7.378640776699023,7.795143314411132
1975-10-01,One year,7.6470588235294095,7.843577612102722
1975-09-01,One year,7.905138339920949,8.185197753799752
1975-08-01,One year,8.617234468937884,8.537418376561744
1975-07-01,One year,9.533468559837734,9.39088764946797
1975-06-01,One year,9.183673469387756,9.5716488350681
1975-05-01,One year,9.25925925925926,10.034544219628868
1975-04-01,One year,10.187110187110184,10.414612301370324
1975-03-01,One year,10.460251046025105,10.747192255010809
1975-02-01,One year,11.20507399577168,10.756064533697527
1975-01-01,One year,11.752136752136753,11.2816931809122
1974-12-01,One year,12.095032397408211,11.017179828319659
1974-11-01,One year,12.200435729847497,10.821812011829852
1974-10-01,One year,11.842105263157892,10.779157900896777
1974-09-01,One year,11.946902654867253,10.785064814246752
1974-08-01,One year,10.888888888888886,11.966336980051445
1974-07-01,One year,11.538461538461526,11.652517315826081
1974-06-01,One year,10.859728506787324,10.112056156710961
1974-05-01,One year,10.706150341685657,10.569449291953273
1974-04-01,One year,10.06864988558352,9.814165281567671
1974-03-01,One year,10.138248847926265,9.439197921749537
1974-02-01,One year,9.999999999999993,8.944113476143812
1974-01-01,One year,9.60187353629975,8.542085622191516
1973-12-01,One year,8.941176470588228,7.968882564804424
1973-11-01,One year,8.254716981132077,7.747087348178887
1973-10-01,One year,8.056872037914689,6.902644641511053
1973-09-01,One year,7.363420427553448,5.597650605742687
1973-08-01,One year,7.398568019093083,5.719430377644954
1973-07-01,One year,5.741626794258387,5.725502132450958
1973-06-01,One year,5.995203836930455,5.359994635367535
1973-05-01,One year,5.528846153846147,5.355345676815189
1973-04-01,One year,5.301204819277115,4.650037739619709
1973-03-01,One year,4.830917874396135,4.5446369395965105
1973-02-01,One year,3.8647342995169116,4.226179300647958
1973-01-01,One year,3.640776699029126,3.8728565537255157
1972-12-01,One year,3.406326034063257,3.7696177099137924
1972-11-01,One year,3.4146341463414602,3.8507399818663215
1972-10-01,One year,3.1784841075794725,3.7067144748064216
1972-09-01,One year,3.1862745098039325,3.8216877611754603
1972-08-01,One year,2.9484029484029377,3.6551742064204458
1972-07-01,One year,2.955665024630531,3.5545329365273033
1972-06-01,One year,2.96296296296297,3.6459035729148086
1972-05-01,One year,3.225806451612914,3.871239632543052
1972-04-01,One year,3.491271820448874,3.9845859553490817
1972-03-01,One year,3.499999999999996,4.111075392517965
1972-02-01,One year,3.7593984962406015,4.069123670965349
1972-01-01,One year,3.2581453634085324,4.1507578358421515
1971-12-01,One year,3.266331658291468,4.287897088547505
1971-11-01,One year,3.535353535353532,4.189295786589823
1971-10-01,One year,3.807106598984772,4.417721407738525
1971-09-01,One year,4.0816326530612095,4.492849199936353
1971-08-01,One year,4.358974358974367,4.882269079691723
1971-07-01,One year,4.370179948586126,4.892712158509719
1971-06-01,One year,4.38144329896908,4.9522853380794665
1971-05-01,One year,4.404145077720196,5.006181130752507
1971-04-01,One year,4.155844155844159,4.9713383317991084
1971-03-01,One year,4.438642297650138,5.270399654499254
1971-02-01,One year,4.72440944881889,5.757620980705033
1971-01-01,One year,5.277044854881266,5.796849243250935
1970-12-01,One year,5.570291777188313,5.925282010921369
1970-11-01,One year,5.600000000000003,5.867359984165713
1970-10-01,One year,5.630026809651479,5.70775306207371
1970-09-01,One year,5.660377358490569,5.392333289239792
1970-08-01,One year,5.69105691056911,5.522624519525079
1970-07-01,One year,5.706521739130439,5.671444103455368
1970-06-01,One year,6.010928961748622,5.746827257864185
1970-05-01,One year,6.043956043956053,5.671187553596086
1970-04-01,One year,6.060606060606069,5.659925871522503
1970-03-01,One year,6.0941828254847525,5.878697180393489
1970-02-01,One year,6.424581005586605,5.8168518915966025
1970-01-01,One year,6.162464985994386,5.889387591564413
1969-12-01,One year,5.898876404494386,5.7849456489431965
1969-11-01,One year,5.932203389830513,NA
1969-10-01,One year,5.6657223796034,NA
1969-09-01,One year,5.698005698005698,NA
1969-08-01,One year,5.428571428571424,NA
1969-07-01,One year,5.444126074498564,NA
1969-06-01,One year,5.475504322766566,NA
1969-05-01,One year,5.50724637681159,NA
1969-04-01,One year,5.523255813953484,NA
1969-03-01,One year,5.24781341107873,NA
1969-02-01,One year,4.678362573099398,NA
1969-01-01,One year,4.692082111436954,NA
1968-12-01,One year,NA,NA
1968-11-01,One year,NA,NA
1968-10-01,One year,NA,NA
1968-09-01,One year,NA,NA
1968-08-01,One year,NA,NA
1968-07-01,One year,NA,NA
1968-06-01,One year,NA,NA
1968-05-01,One year,NA,NA
1968-04-01,One year,NA,NA
1968-03-01,One year,NA,NA
1968-02-01,One year,NA,NA
1968-01-01,One year,NA,NA
2024-10-01,Six months,1.4399807022518196,2.4264523013081662
2024-09-01,Six months,1.5793866338013718,2.5829746458791742
2024-08-01,Six months,1.9817268688207657,2.5160881032161777
2024-07-01,Six months,2.5011990540455553,2.6174517597052245
2024-06-01,Six months,2.809492500195221,3.0108115431636255
2024-05-01,Six months,3.405520067989287,3.4332812321788784
2024-04-01,Six months,3.7254000710427393,3.5420887316677536
2024-03-01,Six months,3.242391622909624,3.466737012395077
2024-02-01,Six months,3.2043697056665987,3.586770233139912
2024-01-01,Six months,3.347672934996382,3.3345042894233856
2023-12-01,Six months,3.1420330289503973,2.938244196129111
2023-11-01,Six months,3.095133485553392,2.9148754351213526
2023-10-01,Six months,2.991365575004745,3.1770128694822124
2023-09-01,Six months,3.7083955168082827,3.4646390185150127
2023-08-01,Six months,3.127130710277637,3.5908285212255775
2023-07-01,Six months,2.8648540987151527,3.9071108395428094
2023-06-01,Six months,3.504604470713679,4.478548204450778
2023-05-01,Six months,3.1838494556361896,4.701553888302838
2023-04-01,Six months,3.5008379150738067,4.7427805187261685
2023-03-01,Six months,3.679716784971232,4.931395363460876
2023-02-01,Six months,4.313705585031169,5.5180137184402405
2023-01-01,Six months,3.680316698083397,5.579618174759352
2022-12-01,Six months,2.603887135098848,5.471263119838621
2022-11-01,Six months,5.066035616426845,5.772684944115513
2022-10-01,Six months,6.4013211310312235,6.066119121352688
2022-09-01,Six months,6.205663965627961,6.155981538853492
2022-08-01,Six months,7.64349648048166,5.889733474737498
2022-07-01,Six months,9.113297819263067,5.684935447998598
2022-06-01,Six months,10.360409098887846,5.76392979196841
2022-05-01,Six months,9.213029003885298,5.559087670849778
2022-04-01,Six months,9.11970472101833,5.552562433545901
2022-03-01,Six months,10.228264004682242,5.631326542395767
2022-02-01,Six months,8.79719126725682,5.512540678676922
2022-01-01,Six months,7.7903740525039344,5.069880522857517
2021-12-01,Six months,7.636101911820425,4.785834248583832
2021-11-01,Six months,7.857198502552154,4.809637685745944
2021-10-01,Six months,7.390916192432062,4.805334111804713
2021-09-01,Six months,6.892228841419468,4.913160461091984
2021-08-01,Six months,7.10726118664613,4.747566689760015
2021-07-01,Six months,7.349610739189005,4.774506201675665
2021-06-01,Six months,6.719021081183962,4.304035692508258
2021-05-01,Six months,5.877036207046071,3.7722292595533817
2021-04-01,Six months,5.059959659773572,3.244233837360907
2021-03-01,Six months,3.851726370413089,2.2929233558664723
2021-02-01,Six months,3.2782105927782856,2.1356059777918226
2021-01-01,Six months,3.206313225669999,2.160515144047787
2020-12-01,Six months,3.9296328712310924,2.7349470641981366
2020-11-01,Six months,3.9842249812836794,2.672907012894875
2020-10-01,Six months,3.245422245723928,2.3389013366966855
2020-09-01,Six months,1.4001800471771242,1.7627805427322685
2020-08-01,Six months,0.09259758904589521,1.5766958490968326
2020-07-01,Six months,-0.38432562704089346,1.524285555012722
2020-06-01,Six months,-1.2534421299981613,1.210232797151062
2020-05-01,Six months,-1.5689545396095683,1.3306521324572873
2020-04-01,Six months,-0.7986943592146578,1.6560232009133804
2020-03-01,Six months,1.3459957382758736,2.104121916869553
