date,id,id_weight,label,code,year,index,index_adjusted,One month,Three months,Six months,One year
1993-09-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1993,68.426,68.6296284762654,1.5165652840797739,0.27729772222315763,1.8799373786967832,2.521612753397371
1993-08-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1993,68.425,68.543599132183,5.279122405458625,1.1498830064158527,2.3588223664268604,2.6831940213394914
1993-07-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1993,68.233,68.2503763044515,-5.65286976934094,0.22461342540449625,2.134633158105781,3.164499546416697
1993-06-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1993,68.744,68.5821336624125,4.189799813791439,3.5081905481672893,4.0499467641787135,4.179674476404078
1993-05-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1993,68.63,68.3479603339909,2.416344605155274,3.582210921362705,3.794280147620066,4.3151798878266
1993-04-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1993,68.321,68.2121051387268,3.9273073226978594,4.081052885325653,3.8649829284260084,4.162156393407638
1993-03-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1993,67.82,67.9934868344662,4.413483105940519,4.594538502635626,3.112060503101022,4.38342670688912
1993-02-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1993,67.584,67.7492145457649,3.9031638415103487,4.006783554190108,3.0465876998023056,4.698610401078219
1993-01-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1993,67.421,67.5333873320074,5.47308977863501,3.6493615279636904,4.2024411817902285,4.9452088911026815
1992-12-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1992,67.275,67.234172052391,2.6631432604791394,1.650594509074188,4.162885053384846,5.3344397820504845
1992-11-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1992,67.231,67.0870736195055,2.8356430207348904,2.0952564218129854,4.861563249478085,5.295223179326536
1992-10-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1992,67.05,66.9309325001248,-0.51180676239031,4.7584721041915135,4.288952147395508,5.4029836668605435
1992-09-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1992,66.743,66.9595583412626,4.0163190529305615,6.737266762134886,5.509160517478073,6.682970493270672
1992-08-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1992,66.637,66.7401928171966,11.094981813102734,7.7028241321402735,6.503779088618988,6.486305091246121
1992-07-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1992,66.14,66.1575763762479,5.233086783259155,3.8215365453632577,5.787540030755611,6.288267150915204
1992-06-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1992,65.986,65.8769617153217,6.8647618015101,4.2951847166101675,6.535538722355461,7.630325569256874
1992-05-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1992,65.791,65.513482253331,-0.4879840214476294,5.318082896699128,5.901425055518517,6.440705387477745
1992-04-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1992,65.591,65.5401941894457,6.679931030918773,7.790772494192244,6.663611200323083,7.761184221335037
1992-03-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1992,64.972,65.1879759477436,10.040000670047666,8.824017539276818,7.772027504992196,8.854524435806786
1992-02-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1992,64.551,64.6703107707832,6.68698510300485,6.487998265121364,6.441519789563488,6.616566190436865
1992-01-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1992,64.244,64.3224129264929,9.777222481795933,5.5482365608492845,6.803366537766498,6.868502037760954
1991-12-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1991,63.868,63.8243363791872,3.1046635220876695,6.730206944848116,8.629463380127156,6.765182795339436
1991-11-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1991,63.85,63.661927269648,3.887285276991048,6.395061600316954,7.019848923820149,6.779717706870028
1991-10-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1991,63.613,63.4599290619777,13.506660798322612,8.073421929927903,8.645818264012629,7.485257590862241
1991-09-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1991,62.562,62.7934681110731,2.1364281280857433,10.562516948478429,9.778177280609945,8.520381613183
1991-08-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1991,62.578,62.6829481761919,8.881650332424451,7.648305207082684,6.889015987386915,9.12356572385172
1991-07-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1991,62.227,62.2400390703107,21.531368912225666,9.221246218244383,7.0292216204882685,8.851260342505283
1991-06-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1991,61.308,61.2368003853691,-5.728914981609467,8.999401783416761,4.986164350377353,7.3375702505383735
1991-05-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1991,61.81,61.5386004921506,13.724618132568445,6.135082357061816,6.692751623907589,8.518557533621273
1991-04-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1991,60.867,60.8825837316388,20.792327728037098,4.881190036944405,6.422516949757751,8.458660014255168
1991-03-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1991,59.687,59.9316814087582,-12.967181901423587,1.12068988144991,7.2044308775762955,7.094540039115067
1991-02-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1991,60.545,60.6293448023747,9.74138143261516,7.253351071842173,11.34587534355922,9.048828371246916
1991-01-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1991,60.115,60.1615023789034,8.259646004967536,7.986495099187718,10.729369568700719,8.506913107830044
1990-12-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1990,59.821,59.7649356486949,3.8473899318758775,13.654189001862482,9.7533848838673,8.41851529650572
1990-11-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1990,59.796,59.5772094608039,12.007253582911837,15.594560282959025,10.414166185554752,8.601525608427165
1990-10-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1990,59.183,59.0168888948561,26.216056797690012,13.541913494089663,10.350436075150714,8.954509471823851
1990-09-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1990,57.65,57.8828750416726,9.257544409999085,5.986462965029049,6.953781558109795,7.9103024857741815
1990-08-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1990,57.346,57.4573785967396,6.145743559056327,5.465932519737637,6.821107325119868,7.621281786619124
1990-07-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1990,57.167,57.1725100444732,2.6590350155116793,7.248665864784831,6.319126485118409,7.297434261153546
1990-06-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1990,57.117,57.0476152830123,7.655650558572646,7.929928686782106,7.06073353874348,7.644032340136819
1990-05-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1990,56.958,56.6980025140005,11.619915119719494,8.193695324594884,6.81840625538741,7.683291110522933
1990-04-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1990,56.12,56.1809766694782,4.627814246049189,5.397643554932086,7.570918555822237,9.148903065193716
1990-03-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1990,55.733,55.9695766741749,8.446870062851453,6.19853830458017,8.913649525823452,8.981228001564325
1990-02-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1990,55.521,55.5926363969135,3.1878416888050154,5.460598981382603,8.48752659004013,8.862571322130945
1990-01-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1990,55.402,55.4474476508522,7.031119228028215,9.78900598391843,8.383655230947307,9.162200504413615
1989-12-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1989,55.176,55.1343663064194,6.201855697485104,11.698176287632656,8.296937486921063,9.335182799960364
1989-11-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1989,55.06,54.8585989550321,16.42182071121001,11.601333003071534,8.578093478799609,9.098834905286516
1989-10-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1989,54.319,54.1678809500611,12.712414926198612,6.996293626535999,10.652047934933107,7.820718950356309
1989-09-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1989,53.424,53.6303790791412,5.925861344078087,4.999267300881094,9.081449794750851,7.160909856781804
1989-08-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1989,53.285,53.3737068991399,2.5964757172589614,5.63675241375905,9.245487956963693,7.079699368996415
1989-07-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1989,53.279,53.2598161354441,6.518332406264449,14.432708808879301,9.876138574995853,7.441166387706962
1989-06-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1989,53.061,52.980286147194,7.866930972241781,13.322340195272076,10.268086231048311,7.724947214552541
1989-05-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1989,52.894,52.6469972572429,30.418095665379987,12.977504194843469,9.511855730942909,7.420796100731105
1989-04-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1989,51.416,51.4946508924596,3.447601702257419,5.501005384003621,5.02127444618814,5.302394167161609
1989-03-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1989,51.14,51.34940503685,6.885218228975809,7.296150256921652,5.357896347439128,5.339045892724723
1989-02-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1989,51.001,51.0652675826506,6.201761480927637,6.1525179822677245,5.0240468159453044,5.137191036714831
1989-01-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1989,50.752,50.8098565308788,8.818579256799186,4.543724926188153,5.095274119625937,5.669491348976657
1988-12-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1988,50.465,50.4532771823271,3.5037606015488887,3.454656072729345,5.212223217963574,NA
1988-11-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1988,50.468,50.3086932568674,1.445953748521922,3.90757204120582,5.316185884179991,NA
1988-10-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1988,50.379,50.2485432967589,5.453079061349153,5.649733162631354,5.615869425956066,NA
1988-09-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1988,49.854,50.0267017268469,4.869113428437077,6.999649263582497,5.434855192129695,NA
1988-08-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1988,49.762,49.8288928465724,6.6346510428608285,6.743895476574968,5.325421293281196,NA
1988-07-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1988,49.589,49.5628618028766,9.547157673635276,5.582016543568957,6.242497230939725,NA
1988-06-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1988,49.256,49.1876735634302,4.1189254629609096,3.8929451254648972,NA,NA
1988-05-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1988,49.24,49.0225023153092,3.1903454193443537,3.9257966095273433,NA,NA
1988-04-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1988,48.827,48.8943736253932,4.373303496060088,6.9071096327129045,NA,NA
1988-03-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1988,48.548,48.7202791216061,4.2177255180879,NA,NA,NA
1988-02-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1988,48.509,48.5528396654753,12.328185578649009,NA,NA,NA
1988-01-01,d7fm,icvw,"Misc. printed matter, stationery, drawing materials",09.5.3/4,1988,48.029,48.084736428703,NA,NA,NA,NA
2026-08-01,d7fn,icvx,Package holidays,09.6,2026,159.321,158.999776425244,-3.0712057714386676,-0.3602804961637118,-1.8979962818424512,0.234037332729357
2026-07-01,d7fn,icvx,Package holidays,09.6,2026,159.363,159.41362813968,-0.26459475694741164,1.6499534922488124,-0.7895913920375808,0.5349651452544008
2026-06-01,d7fn,icvx,Package holidays,09.6,2026,159.148,159.448828618681,2.3281969873222508,-3.735635968349593,-0.39312492969575397,0.7425225510365576
2026-05-01,d7fn,icvx,Package holidays,09.6,2026,158.802,159.143311071498,2.9145724674344287,-3.4119808702707255,-0.14782039221727938,0.8106649738136719
2026-04-01,d7fn,icvx,Package holidays,09.6,2026,158.459,158.762763580327,-15.291997285099745,-3.170588495061033,-0.28397584867906334,1.029685547422923
2026-03-01,d7fn,icvx,Package holidays,09.6,2026,160.581,160.973707445801,3.3637988604372504,3.0654454644205797,2.62333473682399,4.711260074597664
2026-02-01,d7fn,icvx,Package holidays,09.6,2026,160.343,160.530506036192,3.688113493855072,3.2266513203193403,2.423420928835629,4.518580805809223
2026-01-01,d7fn,icvx,Package holidays,09.6,2026,160.021,160.04673799489,2.150810965946337,2.6886905332440536,1.8780084834959077,4.4169080990786265
2025-12-01,d7fn,icvx,Package holidays,09.6,2025,159.887,159.763172293126,3.8495754192034326,2.183120492520829,1.886450150687402,4.467167592290093
