date,Period,Headline,FT core,geo,"All items excluding energy, food, alcohol and tobacco","Excluding energy, food, alcoholic beverages & tobacco","All items, less fresh food and energy"
2022-03-01,Six months,9.07250960078625,6.066307591790407,UK,NA,6.67458063480646,NA
2022-02-01,Six months,7.841140668273439,5.510329501933179,UK,NA,5.99405083230431,NA
2022-01-01,Six months,8.026256105573104,5.592332478756741,UK,NA,6.219813069755564,NA
2021-12-01,Six months,7.219188055295178,4.823318206447839,UK,NA,5.286913636107204,NA
2021-11-01,Six months,7.382130984370949,4.957183269033687,UK,NA,5.30964386351962,NA
2021-10-01,Six months,6.602975895850682,4.756907905104741,UK,NA,5.228968853218174,NA
2021-09-01,Six months,5.048280935108007,4.084000115763019,UK,NA,4.346281436724064,NA
2021-08-01,Six months,4.635943381391594,4.014458484862951,UK,NA,4.279248811278835,NA
2021-07-01,Six months,3.0431283769027484,3.213117919961809,UK,NA,2.8094356050477387,NA
2021-06-01,Six months,3.6334649551663434,3.4137036978361426,UK,NA,3.1167259369266453,NA
2021-05-01,Six months,2.9410880031546016,2.992345479757494,UK,NA,2.670940034045177,NA
2021-04-01,Six months,1.819660517102184,1.9452056730801184,UK,NA,1.580896268787213,NA
2021-03-01,Six months,1.2289621388144043,1.9242374633413657,UK,NA,1.5999525162371464,NA
2021-02-01,Six months,1.801848425575581,2.0264899759149397,UK,NA,1.935949323322261,NA
2021-01-01,Six months,1.0121266608645874,1.628671738343174,UK,NA,1.2017199982563342,NA
2020-12-01,Six months,1.313208465226401,1.7177257056582538,UK,NA,1.495189144481901,NA
2020-11-01,Six months,1.2045559023582395,1.5483213644714529,UK,NA,1.362256853996624,NA
2020-10-01,Six months,1.1345378204857148,1.6907569994269025,UK,NA,1.2226374911774365,NA
2020-09-01,Six months,0.25375476915492357,1.3685489035951963,UK,NA,1.0207662030915945,NA
2020-08-01,Six months,-0.865035655939661,1.11107576739428,UK,NA,0.23809364251299311,NA
2020-07-01,Six months,0.4454337926800944,2.0467569956306852,UK,NA,1.6584034459042885,NA
2020-06-01,Six months,-0.08101119837782278,1.4975117833568303,UK,NA,1.2216093907049477,NA
2020-05-01,Six months,-0.5468695752436137,1.4441899422460167,UK,NA,0.8010667334362731,NA
2020-04-01,Six months,0.2191323050114491,1.7562800126047025,UK,NA,1.4351837872743856,NA
