date,Period,All items,FT core,"All items, less fresh food and energy"
2008-05-01,Three months,4.677581042797452,1.7508964083215364,3.771196831527268
2008-04-01,Three months,0.41775400080010794,1.432913434821619,2.4998794434609506
2008-03-01,Three months,0.41731816056331805,0.23497474355590287,-0.41046636470842834
2008-02-01,Three months,-0.8315963198863963,-0.38373189017913706,-1.6359573303024288
2008-01-01,Three months,-0.4160160769945076,-0.210864683061871,-1.2288640605024326
2007-12-01,Three months,0.8376917617553437,0.42380388243482553,0.826441889214169
2007-11-01,Three months,0.41819075235625114,0.4238360804192576,0.8272965253157238
2007-10-01,Three months,2.970620452768391,0.619685061780477,1.2441530096962472
2007-09-01,Three months,1.68772646839499,0.27290426196988365,0.41300925972729274
2007-08-01,Three months,0.8394497525330058,-0.23048977030219847,-0.41131050923787216
2007-07-01,Three months,0,-0.2672657829295443,-0.4117338848600771
2007-06-01,Three months,1.6948775354393986,0.6890240881499088,0.8290111112336795
2007-05-01,Three months,3.8560146601343437,1.451322129293279,2.510338181266847
2007-04-01,Three months,0.4208305604724183,0.9741563371509688,1.2467382005614924
2007-03-01,Three months,-1.6666301946711148,-0.07414353410965124,-1.6359573303024288
2007-02-01,Three months,-2.4946796589461973,-0.7279460945680022,-2.849689345005013
2007-01-01,Three months,-2.4817818596923003,-0.5998175071144771,-2.4438764003647973
2006-12-01,Three months,-2.476660003662101,-0.050960801400170855,-0.41046636470842834
2006-11-01,Three months,-2.8849204168202025,0.734214185966368,0.41258325852668865
2006-10-01,Three months,2.1152097531669023,0.8101961863068987,0.826441889214169
2006-09-01,Three months,1.6841735157093973,0.5285154533925795,0.41215813522288425
2006-08-01,Three months,1.6841735157093973,0.3438814458599892,-0.41088800341329
2006-07-01,Three months,0,0.3868912481881417,0
2006-06-01,Three months,2.1196931951004583,0.6310161981288205,1.2441530096962472
2006-05-01,Three months,2.98327987625453,1.1865302449989543,2.5077153014901654
2006-04-01,Three months,0.4208305604724183,0.7874395683532465,1.2454442636145258
2006-03-01,Three months,0,-0.06648817039775545,-2.0376306229112795
2006-02-01,Three months,-0.4203882780518642,-0.7924102267070541,-2.8467922220447583
2006-01-01,Three months,-0.8359410806311418,-0.9115675397989738,-3.2385966117912224
2005-12-01,Three months,-1.251940754645331,-0.31133865139049915,-0.8171560872925809
2005-11-01,Three months,-0.41994692674964806,-0.029795153050288972,-0.4100455904568534
2005-10-01,Three months,1.6948775354393986,0.078745966020736,0.8238885426715692
2005-09-01,Three months,1.2678130225675988,-0.21756471538330302,0
2005-08-01,Three months,-1.6648960041811933,-0.29176817226353463,-1.222604075687428
2005-07-01,Three months,-1.6666301946711148,-0.05178474073964451,-0.8171560872925809
2005-06-01,Three months,-0.8368154863646171,0.5331863543509232,0.41088800564010874
2005-05-01,Three months,2.1219420507823106,0.9730723604108173,2.073544330219268
2005-04-01,Three months,0.42038828049193455,0.6066096775578542,0.8238885426715692
2005-03-01,Three months,-0.8350685003492453,0.013600423205756773,-1.6243317245628441
2005-02-01,Three months,-4.102013434892804,-0.42962509601764576,-2.4314972420469316
2005-01-01,Three months,-3.6900151814114657,-0.4195061246050139,-2.823825578756678
2004-12-01,Three months,-0.8333287933225408,-0.06357812288724699,-0.8130039146587831
2004-11-01,Three months,2.539556175737112,0.42629639671375674,-0.8138309700543078
2004-10-01,Three months,3.831394209397998,0.7584524646675926,0.8196678463366913
2004-09-01,Three months,0.4190670008834996,0.23899034066807467,0
2004-08-01,Three months,0,0.0032705710313346292,-0.4071241536629855
2004-07-01,Three months,0,0.027527862853235358,-0.8130039146587831
