week,n,Mood (weekly),Mood,Week
2023-06-24,156,-0.04892006804359773,-0.23802980143379784,2023-06-24
2023-06-17,158,-0.31071618417462465,-0.2624352662981695,2023-06-17
2023-06-10,134,-0.3025203499457845,-0.21249122811738036,2023-06-10
2023-06-03,126,-0.2899626035711845,-0.1943127691369592,2023-06-03
2023-05-27,170,-0.14654192750108444,-0.16079309254766236,2023-05-27
2023-05-20,182,-0.11094003145146812,-0.198410755609297,2023-05-20
2023-05-13,153,-0.2298065140240998,-0.21824005041415032,2023-05-13
2023-05-06,141,-0.1558838972139971,-0.2164110375954633,2023-05-06
2023-04-29,151,-0.2970125797476229,-0.2717029634047073,2023-04-29
2023-04-22,150,-0.1902572106708816,-0.2152519048331339,2023-04-22
2023-04-15,131,-0.2224904627493515,-0.1916788028727257,2023-04-15
2023-04-08,120,-0.3770516004509733,-0.1781776342699872,2023-04-08
2023-04-01,151,-0.07120834546132926,-0.13878113521043992,2023-04-01
2023-03-25,141,-0.0959648028292489,-0.13007199390993443,2023-03-25
2023-03-18,197,-0.16848578833839747,-0.0925028980267328,2023-03-18
2023-03-11,196,-0.21946560421278405,-0.07740709119560654,2023-03-11
2023-03-04,166,-0.03637178025930733,-0.12216873939498676,2023-03-04
2023-02-25,152,0.05431158070355763,-0.18080535097082473,2023-02-25
2023-02-18,150,-0.10810256101389244,-0.2122854058772565,2023-02-18
2023-02-11,149,-0.39851219701030494,-0.27542419221697434,2023-02-11
2023-02-04,162,-0.2709182265626591,-0.2062687713474209,2023-02-04
2023-01-28,165,-0.07160863892216962,-0.2024604382269908,2023-01-28
2023-01-21,180,-0.3606577063727637,-0.29772531314777345,2023-01-21
2023-01-14,170,-0.12189051353209102,-0.2757139435577389,2023-01-14
2023-01-07,146,-0.255684894080939,-0.3353558686259034,2023-01-07
2022-12-31,79,-0.45266813860530025,-0.35674454991775456,2022-12-31
2022-12-24,145,-0.2726122280126254,-0.3204503087064926,2022-12-24
2022-12-17,178,-0.36045821380474874,-0.31092898499744215,2022-12-17
2022-12-10,176,-0.3412396192483438,-0.28690127713226565,2022-12-10
2022-12-03,170,-0.30749117376025237,-0.2842871989301869,2022-12-03
2022-11-26,161,-0.2345269331764238,-0.2772336832158193,2022-11-26
2022-11-19,185,-0.26434738234404254,-0.313051546862071,2022-11-19
2022-11-12,181,-0.3307833064400289,-0.34726937649962525,2022-11-12
2022-11-05,174,-0.27927711090278196,-0.32869752726322865,2022-11-05
2022-10-29,166,-0.3777983877614304,-0.34315170119421967,2022-10-29
2022-10-22,180,-0.4012187008942598,-0.3116093440757081,2022-10-22
2022-10-15,219,-0.2564959094944423,-0.2609848263815273,2022-10-15
2022-10-08,200,-0.33709380662674615,-0.28196298610966525,2022-10-08
2022-10-01,228,-0.25162895928738416,-0.28905035999146833,2022-10-01
2022-09-24,179,-0.1987206301175367,-0.27314989686653846,2022-09-24
2022-09-17,162,-0.340408548406994,-0.28051801974362545,2022-09-17
2022-09-10,175,-0.3654433021539586,-0.2461377177055931,2022-09-10
2022-09-03,156,-0.1880271067876646,-0.21740606286401729,2022-09-03
2022-08-27,148,-0.2281931216258846,-0.21314406749644912,2022-08-27
2022-08-20,147,-0.20288734025486463,-0.23411573818565845,2022-08-20
2022-08-13,146,-0.2505166827876551,-0.25890862395925485,2022-08-13
2022-08-06,154,-0.17097912531739215,-0.2646119526139303,2022-08-06
2022-07-30,173,-0.31207980438272204,-0.271917137770485,2022-07-30
2022-07-23,186,-0.3020588833492502,-0.25091084076645703,2022-07-23
2022-07-16,181,-0.27332999740635683,-0.24121406699965747,2022-07-16
