week,Week,Geopolitical (weekly),Geopolitical mood
2023-11-05T00:00:00Z,2023-11-05T00:00:00Z,-0.05750015429043231,-0.07668685671271047
2023-10-29T00:00:00Z,2023-10-29T00:00:00Z,-0.08438623261285841,-0.08721458342176866
2023-10-22T00:00:00Z,2023-10-22T00:00:00Z,-0.07712238219863744,-0.08087931359937081
2023-10-15T00:00:00Z,2023-10-15T00:00:00Z,-0.08773865774891373,-0.07626889835457693
2023-10-08T00:00:00Z,2023-10-08T00:00:00Z,-0.09961106112666507,-0.0688149237592619
2023-10-01T00:00:00Z,2023-10-01T00:00:00Z,-0.059045153323267,-0.05792361554260175
2023-09-24T00:00:00Z,2023-09-24T00:00:00Z,-0.05868072121946191,-0.05564897348766568
2023-09-17T00:00:00Z,2023-09-17T00:00:00Z,-0.05792275936765363,-0.05339496961328018
2023-09-10T00:00:00Z,2023-09-10T00:00:00Z,-0.0560458282600245,-0.05251999261900861
2023-09-03T00:00:00Z,2023-09-03T00:00:00Z,-0.049946585103522706,-0.05351713866973167
2023-08-27T00:00:00Z,2023-08-27T00:00:00Z,-0.04966470572191989,-0.05653334575494364
2023-08-20T00:00:00Z,2023-08-20T00:00:00Z,-0.05442285139056736,-0.05787414018621361
2023-08-13T00:00:00Z,2023-08-13T00:00:00Z,-0.06003441246291672,-0.05847937785956248
2023-08-06T00:00:00Z,2023-08-06T00:00:00Z,-0.0620114134443706,-0.05804581164048701
2023-07-30T00:00:00Z,2023-07-30T00:00:00Z,-0.05502788344699977,-0.05464080245740868
2023-07-23T00:00:00Z,2023-07-23T00:00:00Z,-0.05684380208396283,-0.053629151794730545
2023-07-16T00:00:00Z,2023-07-16T00:00:00Z,-0.058300147586614844,-0.056995086283636226
2023-07-09T00:00:00Z,2023-07-09T00:00:00Z,-0.048391376712057295,-0.05583286842085321
2023-07-02T00:00:00Z,2023-07-02T00:00:00Z,-0.050981280796287214,-0.05703959068501442
2023-06-25T00:00:00Z,2023-06-25T00:00:00Z,-0.07030754003958557,-0.05854265234895362
2023-06-18T00:00:00Z,2023-06-18T00:00:00Z,-0.05365127613548276,-0.05478199726466233
2023-06-11T00:00:00Z,2023-06-11T00:00:00Z,-0.053218265768702123,-0.05389042470743264
2023-06-04T00:00:00Z,2023-06-04T00:00:00Z,-0.05699352745204402,-0.053248133219320995
2023-05-28T00:00:00Z,2023-05-28T00:00:00Z,-0.05526491970242043,-0.054794021930192706
2023-05-21T00:00:00Z,2023-05-21T00:00:00Z,-0.05008498590656399,-0.05448780541809888
2023-05-14T00:00:00Z,2023-05-14T00:00:00Z,-0.050649099816255524,-0.057571684245363866
2023-05-07T00:00:00Z,2023-05-07T00:00:00Z,-0.06317708229553089,-0.06018019856732865
2023-04-30T00:00:00Z,2023-04-30T00:00:00Z,-0.05404005365404511,-0.05912228375257012
2023-04-23T00:00:00Z,2023-04-23T00:00:00Z,-0.06242050121562395,-0.06476458887325817
2023-04-16T00:00:00Z,2023-04-16T00:00:00Z,-0.06108315710411467,-0.06233973915086564
2023-04-09T00:00:00Z,2023-04-09T00:00:00Z,-0.058945423036496775,-0.06023986511965893
2023-04-02T00:00:00Z,2023-04-02T00:00:00Z,-0.07660927413679734,-0.057118099599403116
2023-03-26T00:00:00Z,2023-03-26T00:00:00Z,-0.05272110232605377,-0.05109312895814992
2023-03-19T00:00:00Z,2023-03-19T00:00:00Z,-0.05268366097928784,-0.052122506865932144
2023-03-12T00:00:00Z,2023-03-12T00:00:00Z,-0.04645836095547351,-0.053688365836717475
2023-03-05T00:00:00Z,2023-03-05T00:00:00Z,-0.05250939157178457,-0.058015566088163995
2023-02-26T00:00:00Z,2023-02-26T00:00:00Z,-0.05683861395718267,-0.06198005736486315
2023-02-19T00:00:00Z,2023-02-19T00:00:00Z,-0.058947096862429146,-0.060927153218271676
2023-02-12T00:00:00Z,2023-02-12T00:00:00Z,-0.06376716196125959,-0.05920719199730892
2023-02-05T00:00:00Z,2023-02-05T00:00:00Z,-0.06836735667858121,-0.05614207383676643
2023-01-29T00:00:00Z,2023-01-29T00:00:00Z,-0.05262699737081677,-0.052011414078209806
2023-01-22T00:00:00Z,2023-01-22T00:00:00Z,-0.05206725197857813,-0.05123772162099047
2023-01-15T00:00:00Z,2023-01-15T00:00:00Z,-0.05150668931908961,-0.0550562197760316
2023-01-08T00:00:00Z,2023-01-08T00:00:00Z,-0.051844717644354714,-0.05701564259572179
2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,-0.0495322275419394,-0.059058152864344474
2022-12-25T00:00:00Z,2022-12-25T00:00:00Z,-0.06734124459874265,-0.06108696111683293
2022-12-18T00:00:00Z,2022-12-18T00:00:00Z,-0.059344380597850396,-0.05921430254031304
2022-12-11T00:00:00Z,2022-12-11T00:00:00Z,-0.06001475871884546,-0.057326773091877156
2022-12-04T00:00:00Z,2022-12-04T00:00:00Z,-0.0576474605518932,-0.05601970675509067
2022-11-27T00:00:00Z,2022-11-27T00:00:00Z,-0.059850610292663094,-0.056083271944367886
2022-11-20T00:00:00Z,2022-11-20T00:00:00Z,-0.051794262804106865,-0.05620021563948473
2022-11-13T00:00:00Z,2022-11-13T00:00:00Z,-0.05478649337169952,-0.058462978241725375
2022-11-06T00:00:00Z,2022-11-06T00:00:00Z,-0.057901721309002084,-0.06121309002527377
2022-10-30T00:00:00Z,2022-10-30T00:00:00Z,-0.06031838507313043,-0.06398803799595416
2022-10-23T00:00:00Z,2022-10-23T00:00:00Z,-0.06084531321306947,-0.06507350169566503
2022-10-16T00:00:00Z,2022-10-16T00:00:00Z,-0.06578694050589308,-0.06687990612170862
2022-10-09T00:00:00Z,2022-10-09T00:00:00Z,-0.06900151319172369,-0.06508256055770183
2022-10-02T00:00:00Z,2022-10-02T00:00:00Z,-0.06466023987197388,-0.06253454290259365
2022-09-25T00:00:00Z,2022-09-25T00:00:00Z,-0.06807093091724381,-0.061251280833738264
