date,Period,Personal consumption expenditures (PCE),PCE excluding food and energy,FT core
2008-06-01,Six months,4.233275712898887,1.9421511843994432,2.543041864566575
2008-05-01,Six months,3.212877966879546,1.883221809107849,2.4064961653180443
2008-04-01,Six months,3.4209661591622975,1.9125884113011304,2.4218782006937243
2008-03-01,Six months,3.6652109776587283,2.32485363870083,2.715350010074684
2008-02-01,Six months,3.8697560477968684,2.4816489382525564,2.764992185209517
2008-01-01,Six months,3.597401826812119,2.5866399340654045,2.7272003028885776
2007-12-01,Six months,3.3913093586630083,2.486764667027641,2.5880807083775736
2007-11-01,Six months,3.351456382478868,2.415335060524093,2.6623146565243885
2007-10-01,Six months,2.8588371193135176,2.2551442990952797,2.4403733062280066
2007-09-01,Six months,2.7192421131425615,2.014867300203793,2.0987803384594073
2007-08-01,Six months,2.6795187996010883,1.6647960988191324,1.9513317857240873
2007-07-01,Six months,3.1778374733278936,1.8009586064177796,2.0973858112661654
2007-06-01,Six months,3.5520214624185975,2.320089205606868,2.4701015284881813
2007-05-01,Six months,3.8483936425831144,2.256411042105433,2.419049590220885
2007-04-01,Six months,3.3186253359606344,2.1119242737500876,2.3927663221665707
2007-03-01,Six months,2.3504635777651828,2.1898592817172213,2.3970651605537965
2007-02-01,Six months,1.0742351995963295,2.3058940323194888,2.534959453347128
2007-01-01,Six months,1.0823634087073097,2.281821792241745,2.543810116649664
2006-12-01,Six months,1.0979612403742456,1.6555259707891512,2.144996471303104
2006-11-01,Six months,0.8791062075853562,1.895193441581955,2.246597745305691
2006-10-01,Six months,1.3523754786141984,2.310119180964998,2.56403132604441
2006-09-01,Six months,2.7797829303755073,2.564462003784551,2.767538331145395
2006-08-01,Six months,3.7212991871369727,2.807653315979408,3.0022556951160935
2006-07-01,Six months,3.195088442654881,2.7195475702564087,2.84742853469241
2006-06-01,Six months,3.4895219873966044,2.979963437630695,3.12053502121832
2006-05-01,Six months,2.9810768391343334,2.674727851921732,2.7819509596119443
2006-04-01,Six months,2.0026044195041726,2.684052164609718,2.555872140759311
2006-03-01,Six months,1.3850350854062388,2.6475657422962318,2.6036659379373837
2006-02-01,Six months,2.9518981544576883,2.5352313292965833,2.5691803773266155
2006-01-01,Six months,3.660125560372829,2.3722573736055574,2.58181724296237
2005-12-01,Six months,3.533738548500409,2.213046243781114,2.5444433290005204
2005-11-01,Six months,3.663118448919911,2.143094031124071,2.4350034677796524
2005-10-01,Six months,4.214917029911591,2.041327697218298,2.4697645915749673
2005-09-01,Six months,4.465355526768455,1.6905331264611467,2.379211890554047
2005-08-01,Six months,3.092620639296917,1.741721949389019,2.2677262170452543
2005-07-01,Six months,2.8353970841519027,1.913218013117235,2.2789790237628655
2005-06-01,Six months,2.2375989948542063,2.3487613422626064,2.547158049868618
2005-05-01,Six months,2.218765162270797,2.4692268654943117,2.558049300729519
2005-04-01,Six months,2.8920326804590113,2.489603606457691,2.5793174422191902
2005-03-01,Six months,3.198550379089249,2.698482703313654,2.6464810439489916
2005-02-01,Six months,2.9890104897933423,2.577732643150976,2.5411328065645957
2005-01-01,Six months,2.5237031110730612,2.3171189990752517,2.3551414828668458
2004-12-01,Six months,2.444897531332635,1.8246430549367698,2.066130933367843
2004-11-01,Six months,2.92036739339252,1.8853927087507438,2.170960200045388
2004-10-01,Six months,2.796996911958738,1.726839233224231,2.025240197589619
2004-09-01,Six months,2.298439822876741,1.8146488730451438,2.070470061257803
2004-08-01,Six months,2.209934231283772,1.7747222850359012,2.2891358632032706
2004-07-01,Six months,2.5403586990328852,2.0259484587785925,2.3803194637220937
2004-06-01,Six months,3.143720994746646,2.3084633033560786,2.532247965102141
2004-05-01,Six months,3.0109050590263475,2.2400035067883906,2.435050791401196
2004-04-01,Six months,2.6031175692649233,2.2379697668994503,2.4363693254563525
2004-03-01,Six months,2.249400025291015,2.083700897237928,2.312345100525045
2004-02-01,Six months,2.572722962827445,2.025239291197578,2.2870592837914736
2004-01-01,Six months,2.828919795843432,1.9251630556857524,2.212666063994079
2003-12-01,Six months,2.638720585550236,1.9120489826449871,2.1220986724749533
2003-11-01,Six months,2.40905176264099,1.772023693771585,2.0277625928157113
2003-10-01,Six months,1.9164838808222617,1.7874255465989863,2.0803071037787375
2003-09-01,Six months,1.5446778870958466,1.6377648178599546,1.8395912301463428
2003-08-01,Six months,1.431706265293231,1.681590624722884,1.7801905649292
2003-07-01,Six months,1.5995896738427495,1.7329031542870021,1.7487931795160767
2003-06-01,Six months,1.6096268409133696,1.3628943927875836,1.5532305926883514
2003-05-01,Six months,1.5849662032399126,1.438941348877365,1.7627567916025895
2003-04-01,Six months,2.0199660079684323,1.3448641359990354,1.6784715864916824
2003-03-01,Six months,2.741505586964954,1.291786770521508,1.795913352541758
2003-02-01,Six months,2.584983777537242,1.2964868184045297,2.1344668453504347
2003-01-01,Six months,2.1265641136437807,1.4156738329790253,2.0742317488021387
2002-12-01,Six months,1.966941245327125,1.691515514313835,2.054520506888725
2002-11-01,Six months,2.025124690358626,1.8245265167490476,2.003464720063014
2002-10-01,Six months,1.9574357952114374,1.8526665962135702,2.1190220056292244
2002-09-01,Six months,2.4380280088984074,2.248263722137933,2.339700643483207
2002-08-01,Six months,2.624263212098965,2.159079850078216,2.2540269339464376
2002-07-01,Six months,2.566940314887578,2.147452835599495,2.292013159687997
2002-06-01,Six months,2.300677432151965,1.8463160394398992,2.2424642586881953
2002-05-01,Six months,1.8349340713540885,1.57102268677618,2.0633233439961876
2002-04-01,Six months,1.5638476606969487,1.758386619262664,2.197007174169491
2002-03-01,Six months,1.4300969789156737,2.6234637508751657,2.3769314905086314
2002-02-01,Six months,0.19616414760101897,1.2185342360659934,1.6720431559740039
2002-01-01,Six months,-0.16418619126511436,0.9327012415383473,1.6253643965678541
2001-12-01,Six months,-0.4100768875320737,1.3409786789210232,1.8697788625543312
2001-11-01,Six months,0.1486258536681495,1.7462771983535852,2.1430053262489257
2001-10-01,Six months,0.812956027585221,1.3813301888828677,1.9088055711891072
2001-09-01,Six months,0.4588557248411673,0.2870137884157353,1.6170598312895972
2001-08-01,Six months,1.1652981987771982,1.64771719826442,2.1038506293936723
2001-07-01,Six months,1.5029628037151799,1.9061961394796212,2.2843175495930215
2001-06-01,Six months,2.555988579267865,2.138037237769952,2.5850994187668177
2001-05-01,Six months,2.50824797207454,1.8830949937714392,2.4162413132908456
2001-04-01,Six months,2.2559342334186328,2.194949107481259,2.5448463799472174
2001-03-01,Six months,2.1746000947882704,2.1550183263665534,2.4290196996120215
2001-02-01,Six months,3.0362014591233333,2.4380026873557004,2.6963250717339466
2001-01-01,Six months,2.704034379230058,2.3385056238532043,2.578702338168384
2000-12-01,Six months,2.227743861277154,2.0463748074626587,2.4696698883004444
2000-11-01,Six months,2.60707411455392,2.001968510233443,2.3848487569805794
2000-10-01,Six months,2.4906738333551504,1.860700767063661,2.4059844612756947
2000-09-01,Six months,2.0428425858907806,1.7103951834843034,2.278326970643127
2000-08-01,Six months,2.0406096109793603,1.635335581250752,2.302437695011424
2000-07-01,Six months,2.698852159737908,1.6730230780953592,2.4407770883251105
2000-06-01,Six months,2.7424611180915104,1.6961019823068524,2.339958464196246
2000-05-01,Six months,2.525597657597367,1.799088788434955,2.3192871564701445
2000-04-01,Six months,2.539044125396739,1.7762703478288344,2.3144028844053692
2000-03-01,Six months,3.0558514772148992,1.9898384761468213,2.436471722126212
2000-02-01,Six months,2.912177773716196,2.1103636108317447,2.4966414858050525
2000-01-01,Six months,2.638785241342667,1.9110630464908684,2.2577965874277814
1999-12-01,Six months,2.6261013479029316,1.7881445471189306,2.1447717541559475
1999-11-01,Six months,2.2125392963329382,1.6380281435036226,2.1313509147448273
1999-10-01,Six months,2.1632810553832593,1.636849060675627,2.0741332080542354
1999-09-01,Six months,2.806059998806054,1.8119801167755911,2.1985685242022566
1999-08-01,Six months,2.2264441843781846,1.3358512838467673,1.9549307146090877
1999-07-01,Six months,1.7414585154819084,1.1676412378855305,1.8316416965583973
1999-06-01,Six months,1.486591662748049,1.0922432276879057,1.6222685580460774
1999-05-01,Six months,1.6295881815575175,1.334097969587722,1.7649629691645492
1999-04-01,Six months,1.505136973544774,1.1770590199132513,1.613296008970047
1999-03-01,Six months,0.973271459297953,1.052276376436878,1.4925384847529217
1999-02-01,Six months,0.7043918331324894,0.9582366483241955,1.4209452321380294
1999-01-01,Six months,1.0957893809759867,1.4224867116713336,1.7163423954351544
1998-12-01,Six months,1.3115357022304597,1.7046683103913995,1.8986083800091713
1998-11-01,Six months,0.9359551422864598,1.100153430358164,1.5401218102027552
1998-10-01,Six months,1.2042024811927066,1.2594247211355158,1.6187428621640847
1998-09-01,Six months,1.012307196051987,1.236712871348944,1.6481397180367159
1998-08-01,Six months,1.1603645049566236,1.4859978771376126,1.7850791910973292
1998-07-01,Six months,0.7762120488818747,1.2641836105554916,1.5435039576875045
1998-06-01,Six months,0.3794203348581604,1.0038939021739468,1.5749888497726816
1998-05-01,Six months,0.5068910770778867,1.3758176201747574,1.7644002977052828
1998-04-01,Six months,0.24338810001101052,1.2421030339711203,1.6741147534549214
1998-03-01,Six months,0.2550477179066979,1.1768541704443969,1.6074375339298737
1998-02-01,Six months,0.708133528704491,1.3812029756011812,1.6733464350444496
1998-01-01,Six months,0.9740340967482108,1.125602995925279,1.5357349877620905
1997-12-01,Six months,0.9946146638025066,0.955475317788923,1.572330744533847
1997-11-01,Six months,1.2964810772326585,1.136465846048873,1.7144511873949386
1997-10-01,Six months,1.1928267242569346,1.2215851565182456,1.7419633619290031
1997-09-01,Six months,1.1281193123714894,1.311295694322201,1.7657623291678326
1997-08-01,Six months,0.8542635287631217,1.373741754191804,1.742456524393722
1997-07-01,Six months,1.1144369318953018,1.8725100942715622,2.013113549463605
1997-06-01,Six months,1.2568927536275254,1.951228707225039,2.044147701945861
1997-05-01,Six months,1.23241940710066,1.727530591731008,2.037044115905708
1997-04-01,Six months,1.685448561001146,1.8464111301506492,2.2011747184153085
1997-03-01,Six months,2.100150989884053,1.9306766302679135,2.2576318997337554
1997-02-01,Six months,2.4621967763432506,2.062506258735275,2.409655472205182
1997-01-01,Six months,2.2307709942628984,1.8208515374769751,2.2277063472262606
1996-12-01,Six months,2.396554447255639,1.984942780590493,2.250538260962114
1996-11-01,Six months,2.1564683313834987,2.0640412002247643,2.328377399324973
1996-10-01,Six months,2.145555130078769,2.1511382902913656,2.3744789706198226
1996-09-01,Six months,2.1402589569382124,1.9436782963060395,2.2214868732916866
1996-08-01,Six months,2.1791891140501063,1.7981170019582438,2.2851227133277328
1996-07-01,Six months,2.306729231546134,1.887157936672046,2.4238936228038974
1996-06-01,Six months,2.329664386512875,1.7360062174434532,2.3735814843806184
1996-05-01,Six months,2.726308597985283,1.8658977518410058,2.334427536861004
1996-04-01,Six months,2.366747085580889,1.6439977210684242,2.3082532341488826
1996-03-01,Six months,2.2836460255636126,1.8629546385648954,2.4645279190936384
1996-02-01,Six months,1.8094899264487818,1.6589058429549608,2.359625271746482
1996-01-01,Six months,1.9265381251368563,1.881573805569814,2.314968752283174
1995-12-01,Six months,1.7292840152577371,1.9722300932117243,2.303147456856083
1995-11-01,Six months,1.5372519217982106,1.8628077994627956,2.2274018616147644
1995-10-01,Six months,1.8561364968388672,2.0769877041658447,2.307796435513327
1995-09-01,Six months,1.8640317707411924,2.055396657383257,2.3522320378002615
1995-08-01,Six months,2.098754388973312,2.287416690714794,2.4831549397015187
