date,Period,geo,Headline,Core,Goods,Services
2023-11-01,Three months,UK,1.57221561813006,3.6250881262937,0.0243823518009334,5.92536723144059
2023-10-01,Three months,UK,2.77445187645371,3.60973915766569,1.88215918622729,5.09752860869175
2023-09-01,Three months,UK,2.65675785773845,4.6025887205245,-1.80185625200751,6.675312057583
2023-08-01,Three months,UK,1.26760789708678,3.98895949115416,-2.62748891252585,5.42829024568781
2023-07-01,Three months,UK,2.55825421691263,5.77216998426244,-2.38507576728497,7.71616433053914
2023-06-01,Three months,UK,6.14408913674813,6.3612689932786,4.13725680626933,7.20263747731054
2023-05-01,Three months,UK,7.77094986663536,7.04179534260643,5.15401734107219,7.97384451401524
2023-04-01,Three months,UK,9.1011291903051,7.56257626514258,6.2237272696954,9.27198257854862
2023-03-01,Three months,UK,6.29565679864927,6.17584510301281,6.0512953532583,5.94459309398241
2023-02-01,Three months,UK,5.42429072421262,6.20416279995271,6.08857396110158,6.03799144352795
2023-01-01,Three months,UK,4.11063440066302,5.60640201094809,5.80876751612465,4.19817940024725
2022-12-01,Three months,UK,11.739492553043,6.63584919787936,16.3015906879339,7.69451082733399
2022-11-01,Three months,UK,12.4845974325151,6.95492778170623,17.4032395403727,7.68867341569668
2022-10-01,Three months,UK,11.7421899282397,7.24743213925856,16.4443316117872,8.14574677871569
2022-09-01,Three months,UK,7.53915957524587,7.18854907850668,8.21518015966312,7.39936470539577
2022-08-01,Three months,UK,8.9254562189631,7.0173749176637,9.65193103565356,7.23950237146895
2022-07-01,Three months,UK,9.64561388569183,6.07750789678914,10.9935916076995,6.33299766283661
2022-06-01,Three months,UK,14.8935452355246,5.4430908855303,21.0013521679051,5.78230873883923
2022-05-01,Three months,UK,15.2029068169777,5.92175764116349,21.4700904774293,6.06885987143568
2022-04-01,Three months,UK,15.2259791861844,5.90593028921582,21.9781691497906,5.82667363269838
2022-03-01,Three months,UK,8.26954517012781,6.80139227366969,10.6103776391447,6.28375262263547
2022-02-01,Three months,UK,6.44270032112819,5.97980271070755,9.48243846408043,4.4858604772402
2022-01-01,Three months,UK,7.74897346713854,6.77201057287489,10.3691469960122,4.54994856872888
2021-12-01,Three months,UK,9.86005588761363,6.54446499291397,12.150859028498,4.92661273907906
2021-11-01,Three months,UK,9.07419538510903,5.92669949823945,10.4589679096673,5.92039594991896
2021-10-01,Three months,UK,7.79380709286994,5.54508847806492,9.78349256268951,5.80104819505942
2021-09-01,Three months,UK,4.63620158245566,4.58316158411785,6.3915663453616,3.50485755381105
2021-08-01,Three months,UK,5.62504258888192,5.21157634203493,7.44457363769748,2.62550052620727
2021-07-01,Three months,UK,5.31769308076626,5.38364951862977,6.24679218551054,2.10357799657934
2021-06-01,Three months,UK,5.42523271925375,4.99484981848353,6.73018167630326,2.41332239860887
2021-05-01,Three months,UK,3.79246516996017,4.01494151633548,5.23607210034718,1.61133704669585
2021-04-01,Three months,UK,1.31230795200497,0.30903554527455,2.84650657701646,1.04318170407267
2021-03-01,Three months,UK,1.90827178707449,0.469186268277699,2.28535567893262,2.75569290247251
2021-02-01,Three months,UK,2.22952821323015,0.659206271206925,2.41726619908156,3.06240837358198
2021-01-01,Three months,UK,2.51547614382428,2.29271215098303,1.56266659838855,3.58875294139562
2020-12-01,Three months,UK,0.543880381037076,1.82930528854832,0.54519099065613,1.64624600203687
2020-11-01,Three months,UK,1.22981508909712,2.30585201846334,-0.279046256513793,5.16007634868236
2020-10-01,Three months,UK,-1.00356874545019,-0.771175032458926,0.274588330776204,-0.279436543918299
2020-09-01,Three months,UK,2.03149369672757,1.66577725626258,1.72700817826241,1.42669283024959
2020-08-01,Three months,UK,1.07073867611782,0.932694042065862,1.79167164070066,-2.24886343688681
2020-07-01,Three months,UK,3.21199433876371,3.74259776551591,1.6423235208253,2.19787556330289
2020-06-01,Three months,UK,-1.5385530604765,0.795552525029541,-3.82935665956798,-0.099420836963271
2020-05-01,Three months,UK,-2.65201746569395,0.229993036803822,-4.89111173639193,0.359610018282819
2020-04-01,Three months,UK,-1.72541061690922,0.953628866739087,-4.21277504003688,1.58205722443663
2020-03-01,Three months,UK,1.47004330583922,1.64994043068738,0.517805822079609,3.22121483788453
2020-02-01,Three months,UK,1.72925773055121,1.24434313951278,0.716633077243123,2.53056590058232
2020-01-01,Three months,UK,2.35326750867491,1.63347795734268,1.79573033837483,1.87945981508169
2019-12-01,Three months,UK,0.277393577163099,1.08989202203529,0.085728550070252,1.33906306467007
2019-11-01,Three months,UK,0.847128710631484,1.61567549575337,0.895883282411458,2.33524870443469
2019-10-01,Three months,UK,0.324671487374784,1.02626282377358,-0.234383353255585,2.79558462722256
2019-09-01,Three months,UK,2.0939385363547798,1.74493691866837,0.968474083698645,2.5881768024413
2019-08-01,Three months,UK,2.00163735206207,1.68974878713348,0.464392487511001,2.40577887908031
2019-07-01,Three months,UK,2.11644793069916,2.08971564444598,1.30185700483791,1.86448398777312
2019-06-01,Three months,UK,2.26399355697746,1.40020503532703,1.06649022970349,2.5893986012147
2019-05-01,Three months,UK,2.30829051357659,1.74148417593818,1.60957831543322,2.73536355722845
2019-04-01,Three months,UK,2.29783264766141,1.44188136076964,1.51786866071895,2.58835425596016
2019-03-01,Three months,UK,0.695535793752367,1.53745680794892,0.649838210628895,2.13015798125302
2019-02-01,Three months,UK,0.78143265251307,1.74549833026343,0.326355613535734,2.29868143714491
2019-01-01,Three months,UK,1.10908988310867,2.05037377971473,0.016615395363706,2.86353934585313
2025-04-01,One month,UK,9.67040346672925,5.82629556466134,2.17249500823125,8.86687815037914
2025-03-01,One month,UK,1.88221392856778,3.55653444698807,1.50826841826617,4.73995068891513
2025-02-01,One month,UK,1.89012505938024,2.4596125471068,0.480607532027633,5.75850172623853
2025-01-01,One month,UK,6.99893581413666,5.88150618983443,4.76696411146049,7.93250845613198
2024-12-01,One month,UK,3.30269882042533,2.5366968672355,2.93752109129164,2.33488927399605
2024-11-01,One month,UK,3.13805583540809,3.88809601287954,2.49691778878143,4.68502200615568
2024-10-01,One month,UK,6.60891378261943,4.29717824052092,6.00335374811376,5.44048691441388
2024-09-01,One month,UK,0.051802278080415,1.87116373861351,-0.713300794936733,2.38648492187536
2024-08-01,One month,UK,2.40735037292235,4.37757047795231,0.911276542961259,6.4692921632852904
2024-07-01,One month,UK,2.35607438349617,3.12505336792757,0.0659741459362984,2.9514794874181
2024-06-01,One month,UK,2.00547696706697,3.80711166310799,0.676937591832294,5.65931720730801
2024-05-01,One month,UK,2.29262726025359,2.85375132750703,-0.228717852184945,5.26352582762644
2024-04-01,One month,UK,-1.29226696343245,3.14143091382264,-11.746443068914,6.13009170727696
2024-03-01,One month,UK,4.65761219142338,3.61047131262864,1.97989164915968,5.38620556737657
2024-02-01,One month,UK,3.47019627237071,3.30165173029073,0.875559479936627,6.54955842619886
2024-01-01,One month,UK,1.36893301602308,2.00837245591552,1.71359270330729,0.608868427629794
2023-12-01,One month,UK,4.77441318262783,5.75027526832408,1.35870423251514,9.28490954970629
2023-11-01,One month,UK,-1.00469145826757,1.86710377757573,-1.50870446625362,4.38298572107827
2023-10-01,One month,UK,-0.485848159205182,3.20386491704145,-2.17392120041039,4.46212035193601
2023-09-01,One month,UK,6.37150853347181,5.84365251088921,3.86402267925201,8.9962065198899
2023-08-01,One month,UK,2.55228549189095,1.82184475510159,4.08176213436731,1.95470935550686
2023-07-01,One month,UK,-0.827338078969464,6.19926683852512,-12.4068671115512,9.23783693121452
2023-06-01,One month,UK,2.11142574997163,3.99182944151075,1.26617674427958,5.21825810717031
2023-05-01,One month,UK,6.52352957196223,7.15032825250848,4.86104734488091,8.73727393874251
2023-04-01,One month,UK,9.94299295145704,7.98360109253129,6.35056340592284,7.68292956475116
2023-03-01,One month,UK,6.87891305308819,6.00072644633813,4.26141668781161,7.50542791212625
2023-02-01,One month,UK,10.5167621360717,8.72187630043937,8.09390140831241,12.7065650252983
2023-01-01,One month,UK,1.67785557424365,3.86073673625227,5.83349024989017,-1.85757476893431
2022-12-01,One month,UK,4.27195893841619,6.08556204386645,4.37140365741215,7.79000167684709
2022-11-01,One month,UK,6.43669183972222,6.89639496924415,7.24086886003898,6.94121846206752
2022-10-01,One month,UK,25.7074983711711,6.92773186721121,40.5449081559834,8.35703107821297
2022-09-01,One month,UK,6.37182820841478,7.04071037155916,7.3655126355062,7.77247486418868
2022-08-01,One month,UK,4.34309822424892,7.77582853761609,4.63455678588023,8.30870884884054
2022-07-01,One month,UK,12.0494071167528,6.75170594958736,12.804031018960501,6.12895857141638
2022-06-01,One month,UK,10.538832153195001,6.52871465953637,11.6989509724426,7.29193773845369
2022-05-01,One month,UK,6.42639597851766,4.96110969117101,8.52255267951356,5.58523250649119
2022-04-01,One month,UK,28.9207027582395,4.84779067026939,46.1509273442282,4.48858664327574
