Central bank,date,Policy rate,Today,Last month,Start of year
ECB,19331,1.5,,,
ECB,19332,1.5,,,
ECB,19333,1.5,,,
ECB,19334,1.5,,,
ECB,19335,1.5,,,
ECB,19336,1.5,,,
ECB,19337,1.5,,,
ECB,19338,1.5,,,
ECB,19339,1.5,,,
ECB,19340,1.5,,,
ECB,19341,1.5,,,
ECB,19342,1.5,,,
ECB,19343,1.5,,,
ECB,19344,1.5,,,
ECB,19345,1.5,,,
ECB,19346,1.5,,,
ECB,19347,2,,,
ECB,19348,2,,,
ECB,19349,2,,,
ECB,19350,2,,,
ECB,19351,2,,,
ECB,19352,2,,,
ECB,19353,2,,,
ECB,19354,2,,,
ECB,19355,2,,,
ECB,19356,2,,,
ECB,19357,2,,,
ECB,19358,2,,,
ECB,19359,2,,,
ECB,19360,2,,,
ECB,19361,2,,,
ECB,19362,2,,,
ECB,19363,2,,,
ECB,19364,2,,,
ECB,19365,2,,,
ECB,19366,2,,,
ECB,19367,2,,,
ECB,19368,2,,,
ECB,19369,2,,,
ECB,19370,2,,,
ECB,19371,2,,,
ECB,19372,2,,,
ECB,19373,2,,,
ECB,19374,2,,,
ECB,19375,2,,,
ECB,19376,2,,,
ECB,19377,2,,,
ECB,19378,2,,,
ECB,19379,2,,,
ECB,19380,2,,,
ECB,19381,2,,,
ECB,19382,2,,,
ECB,19383,2,,,
ECB,19384,2,,,
ECB,19385,2,,,
ECB,19386,2,,,
ECB,19387,2,,,
ECB,19388,2,,,
ECB,19389,2,,,
ECB,19390,2.5,,,
ECB,19391,2.5,,,
ECB,19392,2.5,,,
ECB,19393,2.5,,,
ECB,19394,2.5,,,
ECB,19395,2.5,,,
ECB,19396,2.5,,,
ECB,19397,2.5,,,
ECB,19398,2.5,,,
ECB,19399,2.5,,,
ECB,19400,2.5,,,
ECB,19401,2.5,,,
ECB,19402,2.5,,,
ECB,19403,2.5,,,
ECB,19404,2.5,,,
ECB,19405,2.5,,,
ECB,19406,2.5,,,
ECB,19407,2.5,,,
ECB,19408,2.5,,,
ECB,19409,2.5,,,
ECB,19410,2.5,,,
ECB,19411,2.5,,,
ECB,19412,2.5,,,
ECB,19413,2.5,,,
ECB,19414,2.5,,,
ECB,19415,2.5,,,
ECB,19416,2.5,,,
ECB,19417,2.5,,,
ECB,19418,2.5,,,
ECB,19419,2.5,,,
ECB,19420,2.5,,,
ECB,19421,2.5,,,
ECB,19422,2.5,,,
ECB,19423,2.5,,,
ECB,19424,2.5,,,
ECB,19425,2.5,,,
ECB,19426,2.5,,,
ECB,19427,2.5,,,
ECB,19428,2.5,,,
ECB,19429,2.5,,,
ECB,19430,2.5,,,
ECB,19431,2.5,,,
ECB,19432,3,,,
ECB,19433,3,,,
ECB,19434,3,,,
ECB,19435,3,,,
ECB,19436,3,,,
ECB,19437,3,,,
ECB,19438,3,,,
ECB,19439,3,,,
ECB,19440,3,,,
ECB,19441,3,,,
ECB,19442,3,,,
ECB,19443,3,,,
ECB,19444,3,,,
