date,geo,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Policy rate
2022-04-30,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-30,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-30,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-30,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-30,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-30,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-30,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-30,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-30,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-30,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-30,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-30,Fed,,,,,,,,,,,,,,,,,,0.375
2022-04-30,Fed,,,,,,,,,,,,,,,,,,0.375
2022-05-01,Fed,,,,,,,,,,,,,,,,,,0.375
2022-05-02,Fed,,,,,,,,,,,,,,,,,,0.375
2022-05-03,Fed,,,,,,,,,,,,,,,,,,0.375
2022-05-04,Fed,,,,,,,,,,,,,,,,,,0.375
2022-05-05,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-06,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-07,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-08,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-09,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-10,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-11,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-12,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-13,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-14,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-15,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-16,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-17,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-18,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-19,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-20,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-21,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-22,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-23,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-24,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-25,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-26,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-27,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-28,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-29,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-30,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-31,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-31,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-31,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-31,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-31,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-31,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-31,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-31,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-31,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-31,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-31,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-31,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-31,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-31,Fed,,,,,,,,,,,,,,,,,,0.875
2022-05-31,Fed,,,,,,,,,,,,,,,,,,0.875
2022-06-01,Fed,,,,,,,,,,,,,,,,,,0.875
2022-06-02,Fed,,,,,,,,,,,,,,,,,,0.875
2022-06-03,Fed,,,,,,,,,,,,,,,,,,0.875
2022-06-04,Fed,,,,,,,,,,,,,,,,,,0.875
2022-06-05,Fed,,,,,,,,,,,,,,,,,,0.875
2022-06-06,Fed,,,,,,,,,,,,,,,,,,0.875
2022-06-07,Fed,,,,,,,,,,,,,,,,,,0.875
