date,Week,Macro Mood (week),Macro Mood
2024-04-27,2024-04-27,-0.03404782951046736,-0.04263138820931583
2024-04-20,2024-04-20,-0.05830376661919793,-0.04487963737351306
2024-04-13,2024-04-13,-0.04213671976632815,-0.04067272957002799
2024-04-06,2024-04-06,-0.03603723694126987,-0.04207115483954619
2024-03-30,2024-03-30,-0.04304082616725629,-0.04282345537729867
2024-03-23,2024-03-23,-0.04147613540525766,-0.04341356167557113
2024-03-16,2024-03-16,-0.04773042084440095,-0.04466982832865737
2024-03-09,2024-03-09,-0.0390464390922798,-0.04407848539679893
2024-03-02,2024-03-02,-0.04540125136034612,-0.04607681099554648
2024-02-24,2024-02-24,-0.04650120201760263,-0.04722627892130895
2024-02-17,2024-02-17,-0.04536504911696713,-0.04757244617217696
2024-02-10,2024-02-10,-0.04703974148727005,-0.04900795379226231
2024-02-03,2024-02-03,-0.04999912306339595,-0.04777421259172233
2024-01-27,2024-01-27,-0.04788587102107469,-0.04621776907767577
2024-01-20,2024-01-20,-0.05110707959730854,-0.04403895697159706
2024-01-13,2024-01-13,-0.04210477668511011,-0.04450426578429374
2024-01-06,2024-01-06,-0.04377334900720976,-0.04593683832714283
2023-12-30,2023-12-30,-0.03917062259675984,-0.04836246220481506
2023-12-23,2023-12-23,-0.05296831484809528,-0.05061754934626025
